income,female,age,job,num_dependents,rent,own_res,new_car,chk_acct,sav_acct,num_accts,mobile,customer_id
12820,0,32,1,1,0,1,0,0,1,2,0,N7110
12620,0,25,2,1,0,1,0,3,0,2,0,P9936
11880,0,39,2,2,0,1,0,1,0,4,0,Y2015
16200,0,30,2,1,0,1,0,0,0,2,0,Y8671
15200,0,63,2,1,0,1,0,3,4,4,0,R8284
129760,0,38,3,1,0,0,0,1,0,0,1,B7128
86130,0,27,2,1,0,1,0,3,3,2,1,V2780
28640,0,34,1,2,0,1,0,2,0,2,0,M2077
43510,0,48,1,1,0,1,0,1,4,2,0,K4886
38500,0,27,2,1,0,1,0,3,0,3,1,H5159
27620,0,25,2,1,0,1,0,1,4,4,0,G2174
15740,0,50,2,1,0,1,0,3,0,2,0,K7543
13440,0,37,1,2,0,1,1,2,4,3,0,Y243
20390,0,22,2,1,0,1,0,1,0,1,0,G7031
94360,0,39,1,2,0,1,0,3,4,2,1,O8309
148960,0,68,3,1,0,1,1,0,0,4,0,F9197
39660,0,33,2,1,1,0,1,0,0,4,0,F6541
23230,0,24,2,1,1,0,0,1,0,3,0,S2667
22490,0,30,3,2,0,1,1,0,1,3,0,I2156
24620,0,22,2,1,0,1,0,0,0,2,0,D8571
25790,0,33,1,2,0,1,1,0,0,1,0,B9883
12400,0,48,1,2,0,0,1,2,1,4,0,Y8394
18820,0,25,2,1,1,0,0,0,0,2,0,O5173
39140,1,38,2,1,0,1,0,3,4,2,0,D4299
44630,0,26,3,1,0,1,0,3,0,2,0,O9193
42970,1,40,3,1,0,1,0,1,0,4,0,O1625
46570,0,30,2,1,0,1,0,3,0,2,1,V3739
83180,0,42,3,1,0,0,0,1,0,4,0,S1363
30310,0,21,2,1,1,0,0,1,1,2,0,O1478
19220,0,37,1,1,0,1,0,1,0,2,0,S6674
24060,0,23,2,1,1,0,0,0,0,3,0,T5546
6090,0,26,0,1,0,1,0,2,0,1,0,J4653
30310,0,21,2,1,1,0,0,1,1,2,0,H8000
26470,0,44,2,2,1,0,0,0,2,2,0,N9492
18820,0,25,2,1,1,0,0,0,0,2,0,G5083
8600,0,39,2,1,0,1,1,0,0,4,0,V6939
17660,0,21,2,1,1,0,0,3,0,2,0,K1784
4260,0,39,1,1,0,1,0,3,0,4,0,B3500
53020,0,36,3,1,0,0,1,0,0,4,0,Y492
30510,0,54,2,1,0,1,0,0,0,2,0,F1504
12740,0,37,1,1,0,1,1,0,0,1,0,K979
15460,0,24,1,1,1,0,0,0,0,3,0,Q2761
12160,0,23,2,1,1,0,1,0,0,1,0,Q3818
12740,0,37,1,1,0,1,1,0,0,1,0,I6248
68720,1,55,2,1,0,1,0,0,0,1,0,D6966
47460,0,25,1,1,0,1,0,1,0,1,0,X3212
70570,0,36,3,2,1,0,0,1,4,3,1,P9507
15160,0,43,1,1,0,1,0,3,3,2,0,T6859
36500,0,22,2,1,1,0,0,0,0,1,0,X1587
27180,0,20,1,1,1,0,1,1,0,2,0,N3634
13300,0,26,2,1,0,1,1,2,0,1,0,J2976
7010,0,32,2,1,0,1,0,3,0,2,0,B4509
37580,0,23,0,1,1,0,0,1,2,0,0,W8104
33680,0,23,2,1,1,0,0,3,3,4,1,N2289
12740,0,37,1,1,0,1,1,0,0,1,0,F3960
9600,0,30,2,1,0,1,0,3,3,3,0,J9561
9320,0,24,2,1,0,1,0,3,0,2,0,F1225
34480,0,74,1,1,0,1,0,3,0,3,0,L6201
11360,0,32,2,2,0,0,0,1,3,4,0,G6924
21460,0,23,2,1,1,0,0,3,0,1,0,D5816
7540,0,38,2,1,0,1,0,1,4,4,0,B9801
37770,0,50,2,1,0,1,0,3,3,2,0,R446
8840,0,36,2,2,0,1,1,1,0,4,0,H9736
62290,0,23,1,1,1,0,0,0,0,1,0,D7328
30790,0,36,2,1,0,1,1,3,4,2,0,Z4294
47360,0,25,1,1,0,1,0,1,0,1,0,K1505
9020,0,21,2,1,1,0,0,0,0,3,0,K4412
42720,0,26,1,1,0,1,0,3,1,2,0,Q1832
11990,0,60,1,1,0,1,1,0,0,4,0,X4192
30770,0,52,2,1,0,1,0,3,0,2,0,F8065
47360,0,25,1,1,0,1,0,1,0,1,0,O495
58480,0,24,2,1,0,1,0,2,0,2,0,S3197
6740,0,20,2,1,0,1,0,0,1,3,0,K8276
30790,0,36,2,1,0,1,1,3,4,2,0,C395
22100,0,25,1,1,1,0,0,3,0,2,0,Q7777
21320,0,27,2,1,1,0,0,0,4,1,0,A9444
35730,0,23,1,1,0,1,0,1,0,2,0,F6490
113280,0,29,3,1,0,1,0,1,0,2,0,R86
51290,0,74,3,2,0,0,0,1,0,4,1,W4573
55950,0,24,2,1,0,1,0,1,1,2,0,U7035
12740,0,37,1,1,0,1,1,0,0,1,0,D277
34460,0,42,2,2,0,1,0,0,0,4,0,K8298
21410,0,35,2,1,0,1,0,3,1,3,0,U7325
26970,0,32,2,2,0,1,0,3,0,2,0,S2591
33940,0,65,0,1,0,1,0,0,0,0,0,P7319
24060,0,31,3,1,0,1,0,3,0,0,0,D6589
30740,0,33,2,2,0,1,0,3,4,2,0,O1688
7500,0,27,0,1,0,1,0,0,0,0,0,L6569
13460,0,42,2,2,0,0,0,3,1,4,0,T9124
12620,0,25,2,1,0,1,0,3,0,2,0,A8345
27620,0,25,2,1,0,1,0,1,4,4,0,F7659
33490,0,28,3,1,0,1,0,3,0,2,0,W6724
23970,0,35,2,1,0,1,0,3,2,4,0,C5798
30010,0,40,2,1,1,0,0,1,0,3,0,Z3953
65600,0,24,2,1,0,1,1,1,1,3,0,K1258
9990,0,25,2,1,0,1,0,3,4,4,0,W8038
15970,0,40,1,2,1,0,1,3,2,2,0,X7024
83860,0,49,2,1,0,1,0,1,0,3,0,M7725
70570,0,36,3,2,1,0,0,1,4,3,1,S180
14090,0,54,2,1,0,1,0,0,0,4,1,M1710
140270,0,27,3,1,0,1,1,1,0,3,0,Z5864
64680,0,52,3,1,0,1,0,1,4,0,0,B790
126800,0,30,3,1,0,0,1,3,4,4,0,E6927
147820,0,60,3,1,0,0,0,1,1,4,0,U5520
32130,0,25,2,1,1,0,0,1,2,1,0,O2769
44390,0,33,3,1,0,1,0,1,0,4,0,K3839
14730,0,39,2,1,0,1,0,3,0,1,0,Z6586
5180,0,29,2,1,0,1,0,3,0,2,0,G1588
48110,0,24,1,1,1,0,0,3,4,3,1,N1062
6970,0,46,2,1,0,1,1,0,0,1,0,C5221
23030,0,45,2,1,0,1,1,0,0,4,0,V1010
12640,0,57,1,1,1,0,0,3,4,4,0,J915
83180,0,42,3,1,0,0,0,1,0,4,0,U6261
15910,0,34,3,1,0,1,0,3,1,3,0,F5518
4260,0,39,1,1,0,1,0,3,0,4,0,Y2989
15160,0,43,1,1,0,1,0,3,3,2,0,I2602
4330,0,24,2,2,1,0,0,1,3,1,0,N6186
44730,0,31,2,1,0,1,0,2,0,4,0,C8124
27600,0,36,2,1,0,0,0,1,4,4,1,X503
35520,0,27,2,1,0,1,0,0,0,3,0,Y9702
38680,0,41,3,1,1,0,0,3,0,4,1,B216
25700,0,21,2,1,1,0,1,3,0,2,0,M1758
12620,0,25,2,1,0,1,0,3,0,2,0,F3213
19190,0,35,2,1,1,0,0,1,0,3,0,W8355
7630,0,26,2,1,0,1,0,3,0,2,0,N1802
11690,0,67,2,1,0,1,0,0,4,4,0,A7771
11630,0,44,2,1,0,1,1,3,2,2,0,H8391
19500,0,34,2,1,0,1,0,3,0,3,0,I4611
48430,0,43,2,1,1,0,1,0,0,4,0,P6331
25800,0,41,1,2,0,1,0,3,2,1,0,G3175
6260,0,24,1,1,0,1,0,0,0,2,0,B4552
18820,0,25,2,1,1,0,0,0,0,2,0,C9202
30740,0,33,2,2,0,1,0,3,4,2,0,S2397
13310,0,22,2,1,0,1,0,1,0,1,0,Y220
61990,0,28,2,1,1,0,0,0,0,2,0,I9440
27430,0,29,2,1,0,1,0,3,0,4,0,C2539
19570,0,31,2,1,0,1,0,0,0,3,0,I6384
9090,0,36,2,1,0,1,1,3,2,4,0,Q736
14240,0,55,3,1,0,1,0,2,4,4,0,L9457
12400,0,38,2,1,0,1,0,3,4,4,0,U8962
109740,0,26,3,1,0,1,0,3,0,0,0,H8469
17780,0,26,0,1,1,0,1,1,0,1,0,O4140
70570,0,36,3,2,1,0,0,1,4,3,1,B7618
42100,0,26,2,1,0,1,0,2,0,2,0,E2925
37570,0,62,2,1,0,0,1,3,0,4,0,S2823
31810,0,26,2,1,0,1,0,3,0,1,0,V9743
21460,0,23,2,1,1,0,0,3,0,1,0,N9623
89780,1,45,3,1,0,1,1,0,0,4,0,O4680
17660,0,21,2,1,1,0,0,3,0,2,0,A7430
6820,0,51,2,1,0,1,1,3,1,3,0,D3203
143180,0,57,3,1,0,0,1,1,0,4,0,W2303
29690,0,25,2,1,1,0,0,1,0,1,0,C6021
27280,0,35,2,1,0,1,0,1,4,3,0,G3317
22100,0,25,1,1,1,0,0,3,0,2,0,Z569
15370,0,50,2,1,0,1,0,1,4,4,0,P9566
23200,0,34,2,1,0,1,0,3,0,0,0,G6702
8360,0,23,1,1,0,1,1,1,1,1,0,P8397
5180,0,29,2,1,0,1,0,3,0,2,0,A4496
19080,0,66,3,1,0,1,0,2,0,4,0,D1228
10920,0,49,2,1,0,1,0,1,0,2,0,S6624
29100,0,34,3,1,0,0,0,0,0,3,1,B195
15250,0,34,2,2,0,1,1,3,3,3,0,Q9847
13300,0,26,2,1,0,1,1,2,0,1,0,Y8719
10680,0,28,2,2,0,1,0,1,0,4,0,C1491
9000,0,23,2,1,0,1,1,0,4,2,0,Z2517
25070,0,51,1,1,0,0,1,3,2,4,0,A2375
13310,0,22,2,1,0,1,0,1,0,1,0,S3035
20390,0,22,2,1,0,1,0,1,0,1,0,L2153
14120,0,29,3,1,0,1,0,3,0,2,0,O298
7080,0,38,1,2,0,1,0,0,0,2,0,W8783
42100,0,26,2,1,0,1,0,2,0,2,0,O9331
12460,0,23,1,1,0,1,1,1,0,1,0,T9169
26470,0,44,2,2,1,0,0,0,2,2,0,Q4408
8600,0,39,2,1,0,1,1,0,0,4,0,I4255
27280,0,35,2,1,0,1,0,1,4,3,0,K488
159450,0,58,2,1,1,0,0,1,0,1,0,F3498
48170,0,31,2,1,0,1,1,0,0,3,0,W8715
12640,0,57,1,1,1,0,0,3,4,4,0,P3606
7300,0,46,1,1,1,0,0,3,4,4,0,T4891
15670,0,22,2,1,0,1,0,1,0,2,0,O5127
15370,0,50,2,1,0,1,0,1,4,4,0,H1655
10550,0,30,2,1,0,1,1,3,0,1,0,T5232
30590,1,61,1,1,0,1,0,3,3,3,0,O1074
10420,0,33,2,1,0,1,1,1,4,2,0,I5965
15210,1,31,1,1,0,1,0,1,0,2,0,N5293
13310,0,22,2,1,0,1,0,1,0,1,0,V2211
95660,0,31,2,1,0,1,0,3,0,2,0,N8753
83350,0,47,2,1,0,0,0,0,4,4,1,F1928
44390,0,33,3,1,0,1,0,1,0,4,0,W4095
37570,0,62,2,1,0,0,1,3,0,4,0,J8584
13460,0,42,2,2,0,0,0,3,1,4,0,H2312
41690,0,28,2,1,0,1,0,0,0,2,0,U2830
21210,0,30,2,1,0,1,1,0,0,2,0,T8504
79800,0,27,2,1,1,0,0,3,4,1,0,V6007
12400,0,48,1,2,0,0,1,2,1,4,0,O8317
27450,0,32,2,1,0,1,0,1,3,3,0,A4630
14730,0,39,2,1,0,1,0,3,0,1,0,M8674
19340,0,26,2,1,0,1,0,3,0,4,0,O1640
7450,0,28,1,1,0,1,0,2,0,2,0,V6023
61990,0,28,2,1,1,0,0,0,0,2,0,S7008
23330,0,29,1,1,0,1,0,1,4,1,0,O1845
14100,0,35,2,1,0,1,0,1,2,4,0,B5514
50960,0,30,3,1,0,1,0,1,0,2,0,D6510
19670,0,20,2,1,0,1,0,1,0,4,0,R8909
29780,0,32,2,2,0,1,0,3,4,2,0,C3155
24060,0,23,2,1,1,0,0,0,0,3,0,F5299
21490,1,29,2,1,0,0,0,0,0,2,0,J49
10920,0,49,2,1,0,1,0,1,0,2,0,W3586
102970,0,39,2,2,0,0,0,0,0,3,1,G6177
22250,0,57,2,1,0,0,1,1,0,4,0,S5905
64680,0,52,3,1,0,1,0,1,4,0,0,C7926
63040,0,36,2,1,0,1,0,3,4,4,0,U1142
15680,0,24,1,1,1,0,0,3,1,2,0,G6424
10420,0,33,2,1,0,1,1,1,4,2,0,O1952
35520,0,27,2,1,0,1,0,0,0,3,0,A5682
20730,0,28,2,1,0,1,0,3,1,2,0,U6729
64190,0,44,3,2,0,0,0,0,0,4,1,I5114
17430,0,34,1,1,0,1,0,3,1,2,0,X3577
12620,1,49,1,1,0,1,0,0,4,4,0,J6760
19630,0,31,3,2,1,0,0,3,0,3,0,Z4584
13460,0,42,2,2,0,0,0,3,1,4,0,J2234
21320,0,27,2,1,1,0,0,0,4,1,0,M4394
39660,0,33,2,1,1,0,1,0,0,4,0,M767
15770,0,20,2,1,0,1,0,1,3,1,0,A2493
10240,0,48,2,1,0,1,0,0,0,1,0,Q5359
62600,0,28,1,1,1,0,1,1,0,3,0,N211
48430,0,43,2,1,1,0,1,0,0,4,0,I2042
35990,0,26,1,1,1,0,0,0,0,3,0,P6153
43510,0,48,1,1,0,1,0,1,4,2,0,Q6931
8600,0,39,2,1,0,1,1,0,0,4,0,L7510
23660,1,36,3,1,0,1,1,1,2,3,0,E708
17430,0,34,1,1,0,1,0,3,1,2,0,S955
15680,0,24,1,1,1,0,0,3,1,2,0,T9146
50960,0,30,3,1,0,1,0,1,0,2,0,V8995
13520,0,23,0,1,1,0,0,0,2,0,1,N8903
15430,1,33,2,1,0,1,0,3,3,2,0,H6279
14420,0,23,2,1,1,0,1,0,0,3,0,L1511
101270,0,44,2,1,0,0,1,3,2,2,0,J8791
13440,0,37,1,2,0,1,1,2,4,3,0,G8905
38500,0,27,2,1,0,1,0,3,0,3,1,R1635
47880,0,26,2,2,0,1,0,0,0,3,1,Y709
33680,0,23,2,1,1,0,0,3,3,4,1,H5467
11310,0,33,2,1,0,1,0,0,0,0,0,Q3528
22380,0,25,2,1,0,1,0,3,0,2,0,N4442
12850,0,32,2,1,1,0,1,0,4,3,0,P4486
23260,0,27,2,1,0,1,0,1,2,2,0,A7517
12390,0,61,2,1,0,0,0,1,4,2,0,A7948
27460,0,31,2,1,0,1,0,0,0,4,0,D2725
21340,0,48,2,1,0,1,1,3,0,2,0,A7043
129760,0,38,3,1,0,0,0,1,0,0,1,C4785
7080,0,38,1,2,0,1,0,0,0,2,0,M640
8840,0,36,2,2,0,1,1,1,0,4,0,F364
40570,1,43,2,1,0,1,0,1,0,3,0,V2292
99600,0,26,2,1,0,1,0,1,0,1,0,G2106
59980,0,27,2,1,0,1,0,0,0,2,0,M4073
14240,0,55,3,1,0,1,0,2,4,4,0,Q5300
28990,0,43,2,2,0,1,1,1,4,4,0,E6880
40570,1,43,2,1,0,1,0,1,0,3,0,V2314
61430,0,58,1,1,0,0,0,0,0,4,1,L8632
12400,0,48,1,2,0,0,1,2,1,4,0,G4651
9590,0,29,2,1,0,1,0,1,0,2,0,H2533
48170,0,31,2,1,0,1,1,0,0,3,0,E3083
25790,0,33,1,2,0,1,1,0,0,1,0,P6400
15260,0,66,3,1,0,0,0,0,0,4,1,D7013
12870,0,45,1,1,0,1,1,3,4,4,0,E5504
143180,0,57,3,1,0,0,1,1,0,4,0,I9939
13910,0,27,2,1,0,1,0,1,0,2,0,E3941
14180,0,35,1,1,1,0,1,3,1,2,0,K1978
18870,0,28,2,1,0,1,0,1,4,2,0,P4533
24060,0,31,3,1,0,1,0,3,0,0,0,R3653
46570,0,30,2,1,0,1,0,3,0,2,1,V2383
83180,0,42,3,1,0,0,0,1,0,4,0,J9661
110540,0,30,3,1,0,1,0,3,4,2,1,Y9651
33780,0,31,2,1,0,1,0,3,4,2,1,A135
109610,0,27,2,1,0,1,0,1,3,3,0,P9075
35730,0,23,1,1,0,1,0,1,0,2,0,M3604
12710,0,39,2,1,0,0,0,2,4,2,0,J78
26220,0,34,2,1,0,1,0,1,1,2,0,W9431
27590,0,34,2,1,0,1,0,3,0,4,0,B3631
41690,0,28,2,1,0,1,0,0,0,2,0,W9481
32290,0,38,3,1,0,1,0,3,4,0,1,E1343
42970,1,40,3,1,0,1,0,1,0,4,0,F5406
9310,0,32,1,1,0,1,1,1,1,1,0,W7637
26790,0,29,3,1,0,1,0,3,0,1,1,B1864
24620,0,22,2,1,0,1,0,0,0,2,0,G6831
90340,0,29,3,1,1,0,0,1,1,1,0,Z5437
48440,0,33,3,1,1,0,0,3,0,0,0,R98
12850,0,32,2,1,1,0,1,0,4,3,0,L2469
33490,0,28,3,1,0,1,0,3,0,2,0,J4525
4330,0,24,2,2,1,0,0,1,3,1,0,L8904
26790,0,29,3,1,0,1,0,3,0,1,1,U9560
64160,0,59,2,1,1,0,0,1,0,4,0,R2017
159450,0,58,2,1,1,0,0,1,0,1,0,M5236
15670,0,22,2,1,0,1,0,1,0,2,0,B6198
27790,0,21,2,1,1,0,0,1,0,2,1,G8652
63040,0,36,2,1,0,1,0,3,4,4,0,G9882
12870,0,45,1,1,0,1,1,3,4,4,0,F5853
14730,0,39,2,1,0,1,0,3,0,1,0,B2154
14840,0,25,2,1,0,1,0,1,4,2,0,M8793
21500,0,24,2,1,0,1,1,1,0,2,0,G7704
26700,0,35,3,1,0,1,0,3,0,4,1,T2998
61990,0,28,2,1,1,0,0,0,0,2,0,O2181
51520,0,25,2,1,0,1,0,2,0,3,0,Y6309
13300,0,26,2,1,0,1,1,2,0,1,0,C7058
15530,0,44,2,1,0,1,0,0,0,2,0,Y4461
115900,0,24,1,1,1,0,0,3,1,2,1,S8282
72380,0,32,2,2,0,1,0,3,4,4,0,X6473
44550,1,30,3,1,0,1,0,1,0,2,0,P1549
20300,0,24,2,1,0,1,0,1,4,3,0,E116
11750,0,68,0,1,0,0,1,1,0,0,0,E8303
34460,0,42,2,2,0,1,0,0,0,4,0,S966
32130,0,25,2,1,1,0,0,1,2,1,0,P2993
38120,0,23,2,1,0,1,0,3,1,1,1,I4164
12130,0,47,2,1,0,1,0,3,2,4,0,U5901
36500,0,22,2,1,1,0,0,0,0,1,0,I3251
93980,0,28,3,1,1,0,0,1,0,1,1,W5557
46230,0,40,3,1,0,1,0,3,1,2,0,P9649
21970,0,43,2,2,0,1,0,3,4,3,1,K3205
30920,0,22,2,1,1,0,0,1,1,1,0,Y3659
20640,0,34,3,1,0,1,0,1,0,0,0,M5801
61870,0,24,2,1,1,0,0,0,1,3,1,C4747
7170,0,52,2,1,0,1,0,3,0,4,0,M1047
15010,0,34,3,1,0,1,0,1,0,4,0,Z8099
18870,0,28,2,1,0,1,0,1,4,2,0,Y4268
15770,0,20,2,1,0,1,0,1,3,1,0,L7182
36170,0,20,2,1,1,0,0,2,4,4,0,W7614
3380,0,52,2,1,0,1,0,0,2,4,0,H9869
19870,0,21,1,2,1,0,0,0,0,2,0,U143
15950,0,51,2,2,0,1,0,3,0,3,0,U7113
17550,0,58,1,1,0,1,0,0,0,4,0,K655
24060,0,23,2,1,1,0,0,0,0,3,0,J5089
12010,0,26,2,1,0,1,1,1,0,1,0,Q1173
30790,0,36,2,1,0,1,1,3,4,2,0,W6463
10420,0,33,2,1,0,1,1,1,4,2,0,R536
12440,0,41,1,1,1,0,0,3,4,4,0,N7630
23150,0,52,1,1,0,1,0,0,0,4,0,D6335
14420,0,32,1,2,0,0,1,0,0,3,0,P2335
33680,0,23,2,1,1,0,0,3,3,4,1,B1533
39140,1,38,2,1,0,1,0,3,4,2,0,M555
12640,0,57,1,1,1,0,0,3,4,4,0,T146
21080,0,29,2,1,1,0,0,3,0,3,0,T7963
13330,0,43,2,2,0,0,1,0,0,0,0,B9975
30010,0,40,2,1,1,0,0,1,0,3,0,L530
12040,0,35,2,1,1,0,1,3,1,2,0,N3325
46570,0,30,2,1,0,1,0,3,0,2,1,H5542
10550,0,30,2,1,0,1,1,3,0,1,0,P7681
7540,0,38,2,1,0,1,0,1,4,4,0,T3250
7830,0,26,1,2,0,1,1,3,4,2,0,S1288
12620,1,49,1,1,0,1,0,0,4,4,0,D7386
12400,0,38,2,1,0,1,0,3,4,4,0,O8375
30790,0,36,2,1,0,1,1,3,4,2,0,U9618
25790,0,33,1,2,0,1,1,0,0,1,0,G6250
55950,0,24,2,1,0,1,0,1,1,2,0,S2425
24040,0,26,2,1,0,1,0,3,0,2,0,V6121
67580,0,31,2,1,0,1,0,0,0,2,0,D4300
14240,0,55,3,1,0,1,0,2,4,4,0,Y1880
12440,0,41,1,1,1,0,0,3,4,4,0,T5783
12620,0,25,2,1,0,1,0,3,0,2,0,V9297
15970,0,40,1,2,1,0,1,3,2,2,0,E1900
19570,0,31,2,1,0,1,0,0,0,3,0,A4146
6250,0,26,1,1,0,1,0,1,0,1,0,W3238
15950,0,51,2,2,0,1,0,3,0,3,0,X325
11260,0,21,2,1,1,0,0,3,4,1,0,D946
18640,0,30,2,1,0,1,0,3,1,2,0,M3997
37580,0,23,0,1,1,0,0,1,2,0,0,M452
19190,0,35,2,1,1,0,0,1,0,3,0,S253
89780,1,45,3,1,0,1,1,0,0,4,0,B1654
22780,0,28,2,1,0,1,1,1,1,1,0,T3603
15370,0,50,2,1,0,1,0,1,4,4,0,K5605
19250,0,26,2,1,0,1,0,2,0,2,0,L9578
25380,0,47,1,2,0,1,1,3,0,4,0,S4711
9000,0,23,2,1,0,1,1,0,4,2,0,M7166
19130,0,36,2,1,0,1,0,1,3,1,0,Z1610
11990,0,60,1,1,0,1,1,0,0,4,0,V8034
