college,income,data_overage_mb,data_leftover_mb,data_mb_used,text_message_count,house,handset_price,over_15mins_calls_per_month,average_call_duration,reported_satisfaction,reported_usage_level,considering_change_of_plan,leave,id,operating_system
zero,410069.0,0,82.0,7089.0,65,1060311,532.0,0.0,5.0,low,low,no,STAY,10893,Android
zero,206897.0,228,0.0,1863.0,198,1098375,678.0,12.0,12.0,high,low,yes,LEAVE,20000,Android
zero,146055.0,192,57.0,5336.0,139,1073916,1327.0,3.0,1.0,low,high,yes,LEAVE,8132,IOS
zero,411181.0,0,0.0,4738.0,199,1279655,594.0,1.0,12.0,low,high,no,STAY,14622,Android
one,166208.0,0,46.0,6609.0,187,1141652,1040.0,0.0,1.0,high,high,yes,LEAVE,14134,IOS
one,64759.0,0,0.0,6799.0,152,628279,1278.0,1.0,1.0,high,high,yes,LEAVE,13803,IOS
zero,290449.0,0,84.0,1184.0,80,1222190,298.0,1.0,2.0,high,high,no,STAY,14054,Android
one,284098.0,65,20.0,4453.0,107,646006,618.0,1.0,6.0,high,low,no,LEAVE,19786,Android
one,384785.0,141,17.0,4644.0,202,624462,557.0,25.0,5.0,high,low,yes,STAY,16905,Android
zero,246436.0,85,0.0,2665.0,94,1095959,1023.0,3.0,8.0,high,high,,LEAVE,11388,IOS
zero,400865.0,159,0.0,5656.0,130,771829,1292.0,22.0,13.0,low,high,yes,STAY,705,IOS
zero,331682.0,47,85.0,5754.0,97,1121841,413.0,3.0,1.0,high,low,yes,LEAVE,7922,Android
zero,346119.0,264,0.0,2429.0,201,829460,452.0,24.0,1.0,low,low,no,LEAVE,10771,Android
zero,290449.0,0,84.0,1184.0,80,1222190,298.0,1.0,2.0,high,high,no,STAY,14054,Android
one,284098.0,65,20.0,4453.0,107,646006,618.0,1.0,6.0,high,low,no,LEAVE,19786,Android
one,384785.0,141,17.0,4644.0,202,624462,557.0,25.0,5.0,high,low,yes,STAY,16905,Android
zero,246436.0,85,0.0,2665.0,94,1095959,1023.0,3.0,8.0,high,high,,LEAVE,11388,IOS
zero,400865.0,159,0.0,5656.0,130,771829,1292.0,22.0,13.0,low,high,yes,STAY,705,IOS
zero,331682.0,47,85.0,5754.0,97,1121841,413.0,3.0,1.0,high,low,yes,LEAVE,7922,Android
zero,346119.0,264,0.0,2429.0,201,829460,452.0,24.0,1.0,low,low,no,LEAVE,10771,Android
zero,92545.0,0,14.0,6311.0,172,964858,963.0,0.0,6.0,high,low,yes,STAY,15974,IOS
zero,319170.0,0,21.0,7184.0,153,1444844,960.0,1.0,5.0,high,low,yes,STAY,8825,IOS
one,330486.0,192,50.0,6105.0,94,1074728,234.0,19.0,1.0,high,low,no,LEAVE,16057,Android
one,185714.0,191,0.0,3124.0,85,716257,971.0,0.0,8.0,high,low,no,LEAVE,3426,IOS
zero,195320.0,0,75.0,3791.0,186,1012042,617.0,0.0,2.0,low,low,yes,LEAVE,3636,Android
zero,195320.0,0,75.0,3791.0,186,1012042,617.0,0.0,2.0,low,low,yes,LEAVE,3636,Android
one,325119.0,66,0.0,6958.0,158,570769,1303.0,5.0,15.0,high,high,yes,STAY,13354,IOS
one,414896.0,219,84.0,5008.0,56,663443,938.0,21.0,1.0,low,high,yes,LEAVE,1204,IOS
one,291877.0,56,13.0,6319.0,68,1354850,382.0,3.0,5.0,low,low,no,STAY,4743,Android
zero,274179.0,0,13.0,7624.0,214,1156854,325.0,0.0,4.0,avg,low,,STAY,11270,Android
zero,-65000.0,0,0.0,6444.0,160,542857,993.0,0.0,11.0,low,high,no,STAY,467,IOS
one,332075.0,0,0.0,4881.0,55,1029606,704.0,1.0,12.0,high,low,yes,LEAVE,9538,Android
one,325119.0,66,0.0,6958.0,158,570769,1303.0,5.0,15.0,high,high,yes,STAY,13354,IOS
one,414896.0,219,84.0,5008.0,56,663443,938.0,21.0,1.0,low,high,yes,LEAVE,1204,IOS
one,291877.0,56,13.0,6319.0,68,1354850,382.0,3.0,5.0,low,low,no,STAY,4743,Android
zero,274179.0,0,13.0,7624.0,214,1156854,325.0,0.0,4.0,avg,low,,STAY,11270,Android
zero,-65000.0,0,0.0,6444.0,160,542857,993.0,0.0,11.0,low,high,no,STAY,467,IOS
one,332075.0,0,0.0,4881.0,55,1029606,704.0,1.0,12.0,high,low,yes,LEAVE,9538,Android
zero,262985.0,0,24.0,7631.0,107,672529,243.0,1.0,6.0,low,high,yes,STAY,10311,Android
zero,245637.0,0,16.0,1173.0,115,931095,585.0,1.0,4.0,low,low,yes,STAY,5982,Android
zero,116763.0,85,0.0,5231.0,194,546432,1271.0,4.0,13.0,low,low,yes,STAY,17921,IOS
zero,70216.0,0,5.0,452.0,201,636318,298.0,0.0,4.0,low,high,no,STAY,14699,Android
zero,258905.0,165,0.0,3481.0,173,622921,862.0,18.0,10.0,low,high,yes,LEAVE,17688,IOS
zero,82150.0,34,43.0,742.0,128,1216562,681.0,1.0,2.0,avg,high,yes,STAY,8258,Android
zero,97314.0,0,81.0,4842.0,76,567738,669.0,1.0,2.0,low,high,yes,STAY,3784,Android
one,115445.0,0,0.0,3451.0,83,749584,647.0,0.0,12.0,low,low,yes,LEAVE,10262,Android
one,162327.0,0,5.0,7773.0,175,606882,765.0,0.0,6.0,high,avg,yes,STAY,3453,Android
one,168630.0,0,18.0,867.0,178,883360,1224.0,0.0,4.0,low,high,yes,STAY,1703,IOS
one,417784.0,62,50.0,1434.0,181,1148505,277.0,4.0,2.0,low,low,no,LEAVE,15860,Android
one,427292.0,0,60.0,6482.0,194,957356,229.0,1.0,1.0,high,high,yes,STAY,4467,Android
one,286800.0,183,43.0,423.0,128,1165190,215.0,19.0,2.0,low,avg,yes,LEAVE,16010,Android
zero,245363.0,61,9.0,7274.0,144,662299,1317.0,5.0,5.0,low,low,yes,LEAVE,5282,IOS
zero,176725.0,0,34.0,6474.0,162,925951,684.0,1.0,6.0,high,high,no,STAY,10047,Android
one,91950.0,0,45.0,860.0,110,1181276,626.0,1.0,1.0,high,low,no,LEAVE,12742,Android
one,120753.0,67,0.0,3325.0,126,978285,952.0,5.0,4.0,low,high,no,STAY,16706,IOS
one,83539.0,0,0.0,6622.0,72,715168,318.0,1.0,10.0,low,low,,LEAVE,10030,Android
zero,154476.0,0,45.0,4543.0,205,858819,634.0,1.0,2.0,high,low,no,STAY,17131,Android
zero,55289.0,221,0.0,4625.0,96,797382,819.0,24.0,11.0,low,low,no,LEAVE,12683,IOS
zero,186286.0,0,67.0,5249.0,98,859204,817.0,1.0,1.0,high,high,yes,STAY,7362,IOS
zero,63409.0,61,74.0,5066.0,81,1112763,711.0,3.0,4.0,high,low,no,LEAVE,8905,Android
zero,141033.0,335,83.0,7253.0,147,947500,670.0,19.0,1.0,low,low,no,LEAVE,959,Android
one,112128.0,217,0.0,3615.0,141,1185468,432.0,23.0,9.0,low,low,yes,LEAVE,15422,Android
one,307277.0,227,17.0,6209.0,148,702117,497.0,29.0,5.0,low,high,yes,STAY,16561,Android
one,219025.0,0,0.0,1102.0,158,1020652,1028.0,1.0,14.0,high,high,yes,LEAVE,8356,IOS
zero,172481.0,0,60.0,6309.0,193,797280,828.0,1.0,2.0,low,low,yes,LEAVE,4414,IOS
one,71067.0,54,16.0,5007.0,146,1209884,446.0,4.0,6.0,high,high,yes,STAY,18746,Android
one,296437.0,0,0.0,4104.0,160,916527,333.0,1.0,12.0,low,low,no,STAY,15647,Android
one,115993.0,0,53.0,2334.0,157,597946,504.0,1.0,9.0,high,low,yes,LEAVE,19079,Android
zero,207251.0,0,9.0,7742.0,126,1048080,1203.0,1.0,5.0,low,low,yes,STAY,18036,IOS
zero,191741.0,171,0.0,1808.0,94,1056193,633.0,20.0,8.0,low,high,,LEAVE,17332,Android
one,154625.0,0,0.0,2376.0,153,894603,534.0,1.0,9.0,high,low,no,STAY,8454,Android
zero,106570.0,203,55.0,7760.0,82,1120843,352.0,22.0,2.0,low,low,,LEAVE,8991,Android
zero,323055.0,0,26.0,682.0,113,836106,557.0,0.0,2.0,low,high,yes,STAY,2520,Android
one,392926.0,0,0.0,2057.0,191,769923,563.0,1.0,11.0,high,low,yes,STAY,19276,Android
one,277702.0,185,0.0,1957.0,109,1011945,470.0,23.0,10.0,high,high,no,LEAVE,12497,Android
one,151952.0,184,0.0,7856.0,85,708528,1221.0,16.0,15.0,low,low,yes,STAY,3717,IOS
one,124525.0,57,16.0,2062.0,98,606965,1311.0,3.0,5.0,high,high,no,STAY,7857,IOS
one,177690.0,171,24.0,5060.0,73,674501,257.0,25.0,6.0,low,high,yes,STAY,15335,Android
one,119793.0,0,85.0,3268.0,114,963926,1175.0,0.0,1.0,low,low,no,LEAVE,6407,IOS
one,194024.0,0,9.0,4989.0,184,1449848,1002.0,16.0,6.0,high,high,yes,STAY,8920,IOS
one,297729.0,174,88.0,991.0,52,835743,1191.0,20.0,1.0,high,low,yes,LEAVE,13461,IOS
one,268898.0,57,0.0,4917.0,85,1312577,640.0,5.0,14.0,low,low,no,STAY,9035,Android
one,257869.0,236,10.0,7384.0,171,1000502,799.0,18.0,5.0,high,high,no,LEAVE,9491,Android
one,292836.0,201,60.0,7515.0,72,325481,700.0,18.0,2.0,low,low,yes,LEAVE,13062,Android
one,311291.0,0,42.0,1101.0,164,1026685,901.0,0.0,2.0,high,avg,yes,STAY,12060,IOS
one,408897.0,173,0.0,491.0,175,545710,1097.0,27.0,5.0,low,low,no,LEAVE,8990,IOS
zero,193756.0,0,0.0,7630.0,95,538600,883.0,1.0,13.0,low,high,yes,LEAVE,17761,IOS
one,326945.0,160,42.0,6569.0,106,856255,361.0,14.0,1.0,high,low,yes,LEAVE,11121,Android
zero,65674.0,172,80.0,5056.0,149,425526,1189.0,22.0,2.0,high,high,yes,LEAVE,204,IOS
one,79109.0,204,8.0,1736.0,181,864416,1251.0,1.0,9.0,high,low,yes,LEAVE,8910,IOS
zero,370515.0,37,76.0,4102.0,193,1247501,563.0,4.0,1.0,avg,low,no,STAY,7745,Android
zero,102394.0,67,80.0,425.0,120,1130540,575.0,5.0,2.0,high,low,yes,STAY,12630,Android
one,126734.0,73,56.0,6751.0,66,852414,1180.0,3.0,2.0,low,low,no,LEAVE,3358,IOS
one,210668.0,65,67.0,7678.0,187,620209,695.0,5.0,1.0,low,avg,yes,LEAVE,11886,Android
one,253505.0,0,0.0,4590.0,153,991331,722.0,0.0,8.0,low,low,,LEAVE,14962,Android
zero,367972.0,160,44.0,4317.0,104,329496,671.0,11.0,2.0,low,high,no,LEAVE,2022,Android
one,242567.0,60,0.0,5813.0,122,663709,893.0,4.0,15.0,high,low,no,LEAVE,2080,IOS
one,190359.0,49,66.0,2329.0,126,1011608,315.0,3.0,2.0,low,low,no,LEAVE,14181,Android
one,134963.0,169,13.0,4269.0,140,982672,1241.0,25.0,5.0,low,low,yes,LEAVE,13848,IOS
zero,251063.0,226,0.0,5555.0,71,927583,875.0,27.0,14.0,avg,low,yes,LEAVE,293,IOS
one,126664.0,250,0.0,7771.0,99,1174413,755.0,23.0,11.0,low,low,no,LEAVE,2594,Android
zero,149213.0,32,0.0,7050.0,214,965186,1289.0,5.0,12.0,low,low,no,LEAVE,14201,IOS
zero,294112.0,63,11.0,2925.0,93,1071753,219.0,4.0,5.0,avg,low,no,LEAVE,10906,Android
one,367481.0,220,0.0,1970.0,167,361744,1088.0,25.0,9.0,low,low,yes,LEAVE,12471,IOS
zero,132924.0,71,26.0,4186.0,218,1137457,1212.0,4.0,1.0,high,low,no,STAY,16216,IOS
zero,296187.0,194,44.0,7334.0,101,587932,535.0,26.0,2.0,high,low,yes,STAY,13250,Android
zero,362378.0,140,50.0,2574.0,128,334274,683.0,18.0,1.0,low,low,yes,LEAVE,11673,Android
zero,204364.0,0,25.0,779.0,89,456808,349.0,0.0,2.0,low,low,yes,LEAVE,3231,Android
zero,227980.0,259,0.0,3058.0,180,1434308,1020.0,13.0,14.0,avg,low,yes,STAY,18633,IOS
zero,99650.0,0,0.0,5695.0,129,1001425,504.0,4.0,9.0,low,high,no,LEAVE,11079,Android
zero,315761.0,199,0.0,2975.0,54,951428,,14.0,11.0,low,low,yes,LEAVE,2738,Android
one,101913.0,233,8.0,2705.0,97,550651,1127.0,29.0,6.0,low,low,yes,LEAVE,15116,IOS
one,405920.0,150,0.0,7013.0,94,577960,445.0,15.0,13.0,low,low,yes,LEAVE,2529,Android
one,105345.0,0,7.0,2532.0,130,672068,955.0,1.0,4.0,avg,high,no,STAY,19865,IOS
one,-32000.0,0,0.0,466.0,154,1426087,651.0,1.0,11.0,low,low,no,STAY,3173,Android
one,151512.0,0,21.0,3374.0,197,690435,1230.0,1.0,6.0,low,low,no,STAY,15585,IOS
one,299368.0,0,34.0,1607.0,163,1404321,998.0,0.0,1.0,low,low,yes,STAY,8604,IOS
one,371681.0,212,31.0,5839.0,57,1082416,1247.0,16.0,2.0,low,avg,,STAY,4426,IOS
one,425754.0,0,0.0,5952.0,62,459255,994.0,0.0,15.0,high,high,yes,LEAVE,18609,IOS
zero,413799.0,0,0.0,5763.0,162,620250,901.0,0.0,11.0,low,low,yes,STAY,6917,IOS
one,405070.0,175,37.0,7873.0,84,973669,315.0,5.0,1.0,low,low,yes,STAY,17171,Android
zero,101321.0,210,17.0,1664.0,68,1082885,273.0,12.0,4.0,low,low,no,STAY,18558,Android
one,426702.0,54,0.0,7052.0,217,1144864,522.0,4.0,14.0,low,low,yes,LEAVE,8740,Android
one,81368.0,44,78.0,1529.0,101,930986,1176.0,3.0,8.0,low,high,no,STAY,9839,IOS
one,355037.0,0,0.0,1128.0,106,395491,1236.0,0.0,9.0,high,high,yes,LEAVE,19789,IOS
zero,283601.0,0,0.0,1521.0,180,531473,918.0,0.0,10.0,high,low,yes,LEAVE,10917,IOS
zero,106046.0,191,24.0,6726.0,151,859104,1090.0,16.0,1.0,low,low,yes,STAY,17995,IOS
zero,140516.0,0,0.0,2040.0,83,484244,1313.0,,10.0,low,low,yes,LEAVE,13391,IOS
zero,198482.0,249,67.0,2923.0,149,1004808,677.0,23.0,2.0,low,high,,STAY,10521,Android
one,233610.0,85,12.0,4061.0,153,644830,1201.0,3.0,6.0,high,high,no,LEAVE,13553,IOS
one,368308.0,187,0.0,6922.0,126,582124,,13.0,11.0,avg,high,yes,STAY,16231,Android
one,283759.0,46,14.0,2143.0,187,512599,1042.0,4.0,4.0,low,low,yes,LEAVE,1781,IOS
one,110534.0,79,0.0,4512.0,156,514734,1045.0,5.0,10.0,high,high,yes,LEAVE,2528,IOS
zero,69387.0,0,0.0,3060.0,144,724545,1220.0,0.0,8.0,low,avg,yes,LEAVE,13526,IOS
one,336261.0,258,11.0,544.0,75,691604,1268.0,22.0,1.0,low,low,yes,STAY,17582,IOS
one,258847.0,0,15.0,557.0,60,1133520,384.0,1.0,6.0,high,low,yes,STAY,16022,Android
zero,110190.0,55,7.0,3521.0,109,933198,740.0,4.0,6.0,low,low,no,STAY,5728,Android
zero,271315.0,178,12.0,3066.0,101,893527,527.0,26.0,2.0,high,high,no,LEAVE,12918,Android
zero,54934.0,0,72.0,4414.0,93,1442650,691.0,0.0,1.0,high,high,yes,STAY,12246,Android
zero,123709.0,216,12.0,3257.0,164,854550,958.0,19.0,1.0,high,high,yes,LEAVE,7840,IOS
zero,313191.0,63,10.0,2562.0,204,1055349,817.0,4.0,6.0,low,low,yes,STAY,200,IOS
one,229229.0,34,0.0,6685.0,136,338589,1159.0,22.0,12.0,low,low,yes,LEAVE,3601,IOS
zero,342812.0,192,0.0,5677.0,220,721351,648.0,23.0,9.0,low,high,no,LEAVE,3376,Android
zero,275673.0,0,19.0,848.0,115,540969,1090.0,1.0,5.0,high,low,yes,STAY,644,IOS
zero,350965.0,49,45.0,1179.0,57,489884,1154.0,5.0,2.0,high,low,yes,LEAVE,1009,IOS
zero,219418.0,0,35.0,4078.0,202,788297,647.0,0.0,1.0,low,low,yes,LEAVE,18217,Android
one,105682.0,207,16.0,4002.0,132,464606,265.0,1.0,6.0,low,low,yes,LEAVE,16035,Android
one,176704.0,0,51.0,4851.0,212,681804,1106.0,0.0,11.0,high,low,yes,STAY,15907,IOS
zero,259630.0,241,13.0,7585.0,144,551050,825.0,5.0,6.0,avg,low,yes,STAY,6717,IOS
zero,430430.0,0,89.0,,83,1312382,766.0,0.0,1.0,low,low,yes,STAY,9,Android
one,132494.0,0,0.0,3501.0,177,387745,1282.0,1.0,4.0,low,high,yes,LEAVE,16380,IOS
one,170020.0,0,51.0,7544.0,58,1171232,1272.0,1.0,1.0,low,low,,LEAVE,3618,IOS
zero,95060.0,0,0.0,2574.0,134,353089,653.0,1.0,12.0,low,high,no,LEAVE,2089,Android
zero,386223.0,183,42.0,4455.0,110,1339335,390.0,16.0,2.0,low,low,no,STAY,19178,Android
one,99246.0,65,25.0,7182.0,186,1102650,838.0,3.0,1.0,low,low,yes,STAY,12702,IOS
zero,101459.0,0,23.0,4147.0,80,1080683,641.0,1.0,6.0,low,high,yes,STAY,8228,Android
one,376064.0,32,0.0,1829.0,155,497432,305.0,5.0,9.0,low,low,yes,LEAVE,8982,Android
one,238532.0,204,0.0,1492.0,145,1347933,883.0,21.0,13.0,low,low,no,STAY,4324,IOS
zero,128196.0,52,0.0,3644.0,138,1307912,1108.0,3.0,2.0,avg,low,yes,STAY,9151,IOS
zero,195783.0,56,13.0,3825.0,63,389447,842.0,4.0,5.0,low,high,no,LEAVE,11954,IOS
zero,352507.0,0,0.0,6661.0,53,954992,1345.0,0.0,10.0,low,high,yes,STAY,2639,IOS
one,249359.0,0,21.0,4608.0,194,1345885,1264.0,0.0,4.0,low,avg,yes,STAY,18553,IOS
zero,62683.0,139,0.0,5161.0,186,1167762,392.0,3.0,10.0,low,low,,STAY,665,Android
one,171299.0,214,0.0,4754.0,192,1101143,1320.0,10.0,13.0,low,low,yes,LEAVE,19101,IOS
one,106213.0,0,16.0,5433.0,66,1415607,660.0,1.0,4.0,avg,low,yes,STAY,18516,Android
zero,272454.0,53,0.0,447.0,136,653869,661.0,3.0,13.0,low,low,yes,LEAVE,15330,Android
zero,310839.0,0,12.0,6788.0,61,1038143,227.0,0.0,6.0,low,low,yes,STAY,1293,Android
zero,342645.0,48,0.0,5554.0,219,629281,616.0,4.0,14.0,avg,low,yes,STAY,14581,Android
one,208975.0,202,19.0,1151.0,119,868044,934.0,21.0,6.0,high,low,no,LEAVE,15729,IOS
one,302730.0,0,0.0,907.0,180,1318933,1160.0,0.0,8.0,high,high,yes,STAY,12034,IOS
one,301115.0,0,57.0,3032.0,68,1176904,1182.0,1.0,2.0,high,high,yes,STAY,10537,IOS
zero,424788.0,0,7.0,5110.0,126,847289,287.0,0.0,6.0,low,high,no,STAY,17644,Android
one,356135.0,151,0.0,2042.0,104,704639,601.0,1.0,12.0,high,low,yes,STAY,13140,Android
zero,107749.0,80,0.0,4044.0,217,354247,248.0,4.0,15.0,high,low,yes,LEAVE,9525,Android
one,113027.0,0,28.0,6633.0,137,1255202,1073.0,1.0,2.0,low,high,no,STAY,10420,IOS
zero,367893.0,49,6.0,7510.0,216,1425861,1026.0,5.0,6.0,low,high,yes,STAY,13747,IOS
zero,364926.0,0,11.0,4301.0,172,1309101,1005.0,1.0,4.0,low,low,yes,STAY,12831,IOS
zero,64066.0,198,0.0,5153.0,125,895288,1329.0,19.0,14.0,low,low,no,STAY,3952,IOS
one,207217.0,43,50.0,7169.0,64,762866,429.0,3.0,2.0,low,high,yes,STAY,12483,Android
zero,430108.0,38,0.0,4094.0,80,1303896,1325.0,4.0,13.0,low,high,yes,STAY,5727,IOS
zero,80745.0,181,72.0,4754.0,153,850617,1145.0,25.0,2.0,low,low,yes,LEAVE,8856,IOS
one,410965.0,213,0.0,3099.0,81,1322252,352.0,27.0,14.0,low,low,yes,STAY,13211,Android
zero,122131.0,0,33.0,2675.0,187,1349889,301.0,1.0,1.0,high,low,yes,STAY,9303,Android
zero,299628.0,0,0.0,1203.0,75,1300406,643.0,1.0,10.0,high,low,yes,STAY,16065,Android
one,57693.0,190,0.0,7543.0,113,377101,1038.0,24.0,8.0,low,high,no,LEAVE,13408,IOS
zero,100679.0,67,40.0,2879.0,143,990095,1328.0,4.0,1.0,low,high,yes,STAY,7123,IOS
zero,340018.0,37,0.0,5354.0,192,1061065,364.0,4.0,14.0,low,high,yes,STAY,12956,Android
zero,247802.0,149,18.0,6427.0,209,753547,841.0,15.0,12.0,low,low,yes,STAY,6757,IOS
one,87434.0,168,15.0,596.0,205,738207,1325.0,19.0,5.0,low,high,yes,STAY,17135,IOS
zero,254274.0,0,11.0,1166.0,153,863467,543.0,0.0,4.0,low,high,yes,STAY,17239,Android
zero,362054.0,77,35.0,6470.0,131,974281,391.0,3.0,1.0,low,low,no,LEAVE,619,Android
zero,154268.0,174,35.0,2703.0,119,538054,1220.0,24.0,2.0,high,low,yes,LEAVE,14362,IOS
one,370755.0,57,30.0,6976.0,90,858039,351.0,3.0,2.0,low,high,yes,STAY,12911,Android
one,95575.0,182,0.0,6013.0,170,892870,472.0,12.0,12.0,low,low,yes,LEAVE,10671,Android
one,282090.0,69,20.0,2286.0,65,706718,559.0,4.0,4.0,high,high,no,STAY,5343,Android
zero,250696.0,0,0.0,7400.0,133,670902,252.0,1.0,9.0,low,high,yes,STAY,19390,Android
zero,266136.0,0,0.0,5287.0,109,990048,769.0,0.0,15.0,low,high,yes,STAY,4421,Android
zero,361438.0,0,52.0,1793.0,149,838884,975.0,1.0,2.0,low,low,yes,STAY,13317,IOS
zero,403089.0,0,6.0,5828.0,173,950062,1225.0,27.0,4.0,high,low,yes,STAY,7482,IOS
one,358359.0,59,6.0,6961.0,214,699624,740.0,3.0,6.0,low,high,yes,LEAVE,5454,Android
zero,138163.0,75,8.0,4889.0,72,484816,495.0,3.0,5.0,low,high,yes,LEAVE,2851,Android
zero,308399.0,162,7.0,6811.0,209,1305724,284.0,12.0,6.0,high,high,yes,STAY,4305,Android
zero,230197.0,0,0.0,2701.0,91,835587,1152.0,1.0,13.0,low,low,yes,STAY,6046,IOS
zero,85166.0,170,0.0,4983.0,148,700186,870.0,21.0,15.0,low,low,yes,LEAVE,13417,IOS
zero,314506.0,0,12.0,6297.0,135,1306790,1289.0,1.0,4.0,high,high,yes,STAY,7932,IOS
one,163004.0,0,61.0,4042.0,85,1400197,1214.0,1.0,1.0,high,low,yes,STAY,13789,IOS
zero,391104.0,55,23.0,5562.0,207,835950,493.0,4.0,6.0,low,low,no,LEAVE,1821,Android
one,357820.0,0,7.0,5879.0,95,667279,1201.0,5.0,4.0,high,low,yes,STAY,11229,IOS
zero,284505.0,225,21.0,3086.0,197,827121,1226.0,19.0,5.0,high,low,,LEAVE,18952,IOS
one,430213.0,0,54.0,751.0,188,574270,1347.0,0.0,1.0,low,low,yes,STAY,7137,IOS
zero,189906.0,201,0.0,1558.0,60,730853,430.0,0.0,4.0,avg,low,no,STAY,5893,Android
zero,167731.0,187,0.0,3923.0,179,1068746,824.0,1.0,14.0,low,high,yes,LEAVE,5411,IOS
zero,168674.0,0,11.0,1459.0,169,1090298,589.0,4.0,6.0,low,low,yes,STAY,1070,Android
zero,390636.0,66,0.0,873.0,57,976808,1213.0,4.0,15.0,low,high,yes,LEAVE,8751,IOS
zero,78964.0,0,19.0,2094.0,98,544071,865.0,1.0,4.0,low,high,yes,STAY,6254,IOS
