"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"California","San Benito",2024,244,181,62,1,0,0,0,105,58,42,0,0,179,65,0
"California","San Bernardino",2024,245,40,107,34,43,21,0,227,187,87,1,2,173,59,10
"California","San Diego",2024,254,124,111,18,1,0,0,159,93,51,0,0,203,51,0
"California","San Francisco",2024,60,60,0,0,0,0,0,38,33,29,0,26,34,0,0
"California","San Joaquin",2024,182,118,64,0,0,0,0,90,65,44,0,0,70,109,3
"California","San Luis Obispo",2024,182,128,53,1,0,0,0,101,64,44,0,0,146,36,0
"California","San Mateo",2024,61,42,19,0,0,0,0,64,56,44,1,0,10,50,0
"California","Santa Barbara",2024,183,126,56,1,0,0,0,108,57,44,1,0,100,79,3
"California","Santa Clara",2024,61,44,17,0,0,0,0,80,56,37,1,1,28,31,0
"California","Santa Cruz",2024,182,151,31,0,0,0,0,66,53,39,0,0,74,108,0
"California","Shasta",2024,211,178,32,1,0,0,0,108,54,43,0,0,184,18,9
"California","Siskiyou",2024,17,17,0,0,0,0,0,11,9,3,0,0,0,17,0
"California","Solano",2024,274,255,19,0,0,0,0,80,48,37,0,2,250,22,0
"California","Sonoma",2024,182,181,1,0,0,0,0,53,34,14,2,0,44,14,122
"California","Stanislaus",2024,184,109,71,4,0,0,0,143,74,47,0,0,109,74,1
"California","Sutter",2024,182,139,41,2,0,0,0,105,58,44,0,0,142,40,0
"California","Tehama",2024,182,151,30,1,0,0,0,105,64,38,0,0,156,26,0
"California","Trinity",2024,174,141,32,1,0,0,0,113,55,26,0,0,0,174,0
"California","Tulare",2024,244,72,102,54,16,0,0,185,140,65,0,0,172,71,1
"California","Tuolumne",2024,178,160,17,1,0,0,0,101,51,38,0,0,178,0,0
"California","Ventura",2024,213,120,89,4,0,0,0,122,68,48,0,0,136,76,1
"California","Yolo",2024,274,204,70,0,0,0,0,90,60,43,0,0,187,87,0
"Colorado","Adams",2024,274,111,141,20,2,0,0,161,100,54,0,18,174,54,28
"Colorado","Alamosa",2024,243,228,15,0,0,0,0,98,39,23,0,0,0,201,42
"Colorado","Arapahoe",2024,244,116,111,15,2,0,0,161,93,51,0,0,232,12,0
"Colorado","Archuleta",2024,304,295,9,0,0,0,0,64,44,32,0,0,213,0,91
"Colorado","Boulder",2024,274,165,99,9,1,0,0,154,80,48,0,0,169,95,10
"Colorado","Clear Creek",2024,236,120,106,10,0,0,0,136,87,50,0,0,236,0,0
"Colorado","Denver",2024,285,111,146,25,3,0,0,172,100,55,0,28,161,96,0
"Colorado","Douglas",2024,271,139,107,21,4,0,0,166,100,50,0,0,224,47,0
"Colorado","El Paso",2024,274,141,119,12,2,0,0,166,84,50,0,0,224,50,0
"Colorado","Fremont",2024,274,273,1,0,0,0,0,51,26,13,0,0,0,0,274
"Colorado","Garfield",2024,274,178,93,3,0,0,0,133,71,48,0,0,269,5,0
"Colorado","Gilpin",2024,243,144,87,12,0,0,0,150,84,49,0,0,243,0,0
"Colorado","Gunnison",2024,243,150,93,0,0,0,0,100,71,48,0,0,243,0,0
"Colorado","Jackson",2024,180,157,23,0,0,0,0,77,51,45,0,0,170,10,0
"Colorado","Jefferson",2024,244,103,105,29,7,0,0,174,108,58,0,0,244,0,0
"Colorado","La Plata",2024,305,181,123,1,0,0,0,101,74,48,0,2,293,10,0
"Colorado","Larimer",2024,274,124,127,21,2,0,0,161,93,54,0,0,214,60,0
"Colorado","Mesa",2024,273,222,51,0,0,0,0,90,58,42,0,0,198,71,4
"Colorado","Montezuma",2024,274,180,93,1,0,0,0,101,71,47,0,0,274,0,0
"Colorado","Pitkin",2024,159,155,4,0,0,0,0,76,36,17,0,0,0,49,110
"Colorado","Prowers",2024,274,245,29,0,0,0,0,98,51,26,0,0,0,212,62
"Colorado","Pueblo",2024,274,173,93,8,0,0,0,143,77,47,0,0,220,48,6
"Colorado","Rio Blanco",2024,182,133,49,0,0,0,0,90,64,46,0,0,180,2,0
"Colorado","Routt",2024,273,272,1,0,0,0,0,53,29,13,0,0,0,0,273
"Colorado","San Juan",2024,19,19,0,0,0,0,0,7,6,4,0,0,0,19,0
"Colorado","San Miguel",2024,269,266,3,0,0,0,0,59,27,15,0,0,0,0,269
"Colorado","Weld",2024,274,118,138,16,2,0,0,164,90,52,0,0,192,82,0
"Connecticut","Fairfield",2024,182,132,39,8,3,0,0,154,71,42,0,11,107,64,0
"Connecticut","Hartford",2024,182,143,33,5,1,0,0,185,57,39,0,8,121,53,0
"Connecticut","Litchfield",2024,181,153,22,6,0,0,0,119,58,40,2,0,170,9,0
"Connecticut","Middlesex",2024,119,100,15,3,1,0,0,177,64,41,0,0,119,0,0
"Connecticut","New Haven",2024,183,132,43,7,1,0,0,156,59,42,1,7,111,64,0
"Connecticut","New London",2024,182,158,21,3,0,0,0,122,53,38,0,0,108,74,0
"Connecticut","Tolland",2024,118,101,12,4,1,0,0,156,67,39,0,0,118,0,0
"Connecticut","Windham",2024,238,222,14,2,0,0,0,122,47,36,0,0,238,0,0
"Country Of Mexico","SONORA",2024,274,121,150,2,1,0,0,173,77,52,0,0,87,89,98
"Delaware","Kent",2024,153,113,40,0,0,0,0,93,58,43,0,0,95,58,0
"Delaware","New Castle",2024,182,117,62,3,0,0,0,115,65,44,0,0,118,64,0
"Delaware","Sussex",2024,182,149,33,0,0,0,0,87,54,42,0,0,132,50,0
"District Of Columbia","District of Columbia",2024,183,118,62,3,0,0,0,114,64,45,1,10,101,71,0
"Florida","Alachua",2024,182,155,27,0,0,0,0,94,52,41,0,0,102,80,0
"Florida","Baker",2024,182,130,52,0,0,0,0,87,56,45,0,0,57,125,0
"Florida","Bay",2024,180,93,87,0,0,0,0,72,60,49,0,0,41,139,0
"Florida","Brevard",2024,182,148,34,0,0,0,0,74,54,43,0,0,152,30,0
"Florida","Broward",2024,183,87,95,0,1,0,0,154,64,51,1,2,62,117,1
"Florida","Citrus",2024,182,126,55,0,0,1,0,272,56,44,0,0,0,182,0
"Florida","Collier",2024,182,125,57,0,0,0,0,87,58,45,0,0,70,112,0
"Florida","Columbia",2024,182,110,72,0,0,0,0,93,60,47,0,0,63,119,0
"Florida","Duval",2024,274,141,133,0,0,0,0,97,64,50,0,1,87,185,1
"Florida","Escambia",2024,182,126,56,0,0,0,0,84,59,44,0,0,107,75,0
"Florida","Flagler",2024,180,172,8,0,0,0,0,71,48,38,0,0,180,0,0
"Florida","Hamilton",2024,171,110,61,0,0,0,0,75,58,46,0,0,0,171,0
"Florida","Highlands",2024,181,151,30,0,0,0,0,77,58,41,0,0,181,0,0
"Florida","Hillsborough",2024,183,84,96,3,0,0,0,143,71,52,1,0,72,110,0
"Florida","Holmes",2024,181,105,76,0,0,0,0,72,58,48,0,0,46,135,0
"Florida","Indian River",2024,235,234,1,0,0,0,0,51,44,35,0,0,235,0,0
"Florida","Lake",2024,182,152,30,0,0,0,0,100,54,41,0,0,182,0,0
"Florida","Lee",2024,182,161,21,0,0,0,0,80,54,38,0,0,182,0,0
"Florida","Leon",2024,177,115,61,1,0,0,0,129,62,45,0,0,61,116,0
"Florida","Liberty",2024,211,208,3,0,0,0,0,54,44,32,0,0,211,0,0
"Florida","Manatee",2024,182,160,21,1,0,0,0,115,51,39,0,0,182,0,0
"Florida","Marion",2024,182,75,106,1,0,0,0,101,61,52,0,0,45,137,0
"Florida","Martin",2024,180,156,24,0,0,0,0,71,53,41,0,0,136,44,0
"Florida","Miami-Dade",2024,182,99,79,1,3,0,0,197,61,50,0,6,57,119,0
"Florida","Okaloosa",2024,182,167,15,0,0,0,0,74,50,38,0,0,179,0,3
"Florida","Orange",2024,275,204,69,2,0,0,0,121,59,42,1,1,175,98,0
"Florida","Osceola",2024,182,155,26,1,0,0,0,108,51,41,0,0,182,0,0
"Florida","Palm Beach",2024,274,177,97,0,0,0,0,76,58,45,0,0,83,191,0
"Florida","Pasco",2024,182,149,33,0,0,0,0,97,61,42,0,0,182,0,0
"Florida","Pinellas",2024,275,150,122,3,0,0,0,132,61,49,1,0,83,189,2
"Florida","Polk",2024,182,118,63,1,0,0,0,105,58,46,0,0,95,87,0
"Florida","Putnam",2024,178,164,13,1,0,0,0,112,47,22,0,0,0,0,178
"Florida","Santa Rosa",2024,182,118,64,0,0,0,0,81,59,46,0,0,72,110,0
"Florida","Sarasota",2024,274,171,102,1,0,0,0,115,63,46,0,0,101,173,0
"Florida","Seminole",2024,182,127,54,1,0,0,0,149,61,44,0,0,112,70,0
"Florida","St. Lucie",2024,181,173,8,0,0,0,0,64,48,39,0,0,181,0,0
"Florida","Volusia",2024,182,144,38,0,0,0,0,76,53,42,0,0,99,83,0
"Florida","Wakulla",2024,181,130,51,0,0,0,0,80,56,43,0,0,70,111,0
"Georgia","Bibb",2024,274,136,136,2,0,0,0,123,66,51,0,0,40,234,0
"Georgia","Charlton",2024,20,18,2,0,0,0,0,81,51,27,0,0,0,20,0
"Georgia","Chatham",2024,270,182,87,1,0,0,0,130,58,43,0,0,64,206,0
"Georgia","Chattooga",2024,182,173,9,0,0,0,0,77,49,39,0,0,182,0,0
"Georgia","Clarke",2024,272,170,100,2,0,0,0,126,63,45,0,0,90,182,0
"Georgia","Clayton",2024,169,94,73,2,0,0,0,128,64,45,0,0,0,169,0
"Georgia","Cobb",2024,272,152,120,0,0,0,0,86,65,48,0,0,63,209,0
"Georgia","Coffee",2024,269,178,90,1,0,0,0,137,59,44,0,0,0,269,0
"Georgia","Columbia",2024,131,122,9,0,0,0,0,90,49,37,0,0,131,0,0
"Georgia","Dawson",2024,214,195,18,0,1,0,0,154,49,39,0,0,214,0,0
"Georgia","DeKalb",2024,306,167,133,6,0,0,0,133,69,47,33,9,69,195,0
"Georgia","Dougherty",2024,268,164,100,4,0,0,0,121,63,46,0,0,0,268,0
"Georgia","Douglas",2024,244,208,34,2,0,0,0,133,64,41,0,0,244,0,0
"Georgia","Floyd",2024,271,187,84,0,0,0,0,89,60,38,0,0,0,271,0
"Georgia","Fulton",2024,306,162,140,4,0,0,0,129,68,49,32,14,64,196,0
"Georgia","Glynn",2024,274,225,49,0,0,0,0,84,55,38,0,0,98,176,0
"Georgia","Gwinnett",2024,274,117,156,0,1,0,0,161,72,53,0,0,51,223,0
"Georgia","Hall",2024,273,121,152,0,0,0,0,100,69,52,0,0,0,273,0
"Georgia","Henry",2024,273,195,72,6,0,0,0,133,64,42,0,0,99,174,0
"Georgia","Houston",2024,270,186,83,1,0,0,0,105,60,42,0,0,0,270,0
"Georgia","Lowndes",2024,241,156,84,1,0,0,0,110,59,43,0,0,0,241,0
"Georgia","Murray",2024,198,161,37,0,0,0,0,77,58,41,0,0,179,19,0
"Georgia","Muscogee",2024,274,150,117,7,0,0,0,127,66,49,0,0,57,217,0
"Georgia","Pike",2024,230,184,42,4,0,0,0,126,64,41,0,0,230,0,0
"Georgia","Richmond",2024,270,154,115,1,0,0,0,105,63,47,0,0,59,211,0
"Georgia","Rockdale",2024,183,158,23,2,0,0,0,115,58,40,0,0,183,0,0
"Georgia","Sumter",2024,184,169,15,0,0,0,0,84,50,39,0,0,184,0,0
"Georgia","Walker",2024,271,134,137,0,0,0,0,98,66,51,0,0,0,271,0
"Georgia","Washington",2024,269,166,102,1,0,0,0,101,62,44,0,0,0,269,0
"Hawaii","Hawaii",2024,241,237,4,0,0,0,0,57,29,20,0,0,0,241,0
"Hawaii","Honolulu",2024,183,180,3,0,0,0,0,85,42,34,1,0,108,74,0
"Hawaii","Maui",2024,182,181,0,1,0,0,0,101,38,24,0,0,0,182,0
"Idaho","Ada",2024,183,144,34,4,1,0,0,157,64,43,1,11,141,29,1
"Idaho","Bannock",2024,182,169,13,0,0,0,0,67,47,35,0,0,84,54,44
"Idaho","Benewah",2024,181,132,48,1,0,0,0,111,61,40,0,0,0,181,0
"Idaho","Blaine",2024,176,176,0,0,0,0,0,44,22,12,0,0,0,176,0
"Idaho","Boise",2024,182,150,32,0,0,0,0,76,53,29,0,0,0,182,0
"Idaho","Bonner",2024,181,173,8,0,0,0,0,73,43,22,0,0,0,161,20
"Idaho","Bonneville",2024,180,176,4,0,0,0,0,60,30,16,0,0,0,180,0
"Idaho","Butte",2024,237,188,49,0,0,0,0,97,64,44,0,0,236,1,0
"Idaho","Canyon",2024,182,158,22,1,1,0,0,152,53,28,0,0,0,178,4
"Idaho","Custer",2024,20,20,0,0,0,0,0,9,7,4,0,0,0,20,0
"Idaho","Franklin",2024,127,103,22,1,1,0,0,161,59,21,0,0,0,127,0
"Idaho","Idaho",2024,272,183,81,5,2,1,0,217,69,42,0,0,87,185,0
"Idaho","Kootenai",2024,173,173,0,0,0,0,0,48,31,17,0,0,0,173,0
"Idaho","Latah",2024,182,178,4,0,0,0,0,59,31,19,0,0,0,182,0
"Idaho","Lemhi",2024,182,140,41,1,0,0,0,111,67,19,0,0,0,182,0
"Idaho","Nez Perce",2024,272,212,56,3,1,0,0,165,63,26,0,0,0,272,0
"Idaho","Shoshone",2024,182,130,52,0,0,0,0,91,59,38,0,0,0,180,2
"Idaho","Twin Falls",2024,171,158,13,0,0,0,0,59,48,14,0,0,0,171,0
"Idaho","Valley",2024,173,158,15,0,0,0,0,73,48,27,0,0,0,173,0
"Illinois","Adams",2024,204,189,15,0,0,0,0,97,49,43,0,0,204,0,0
"Illinois","Champaign",2024,274,181,93,0,0,0,0,100,60,45,0,0,156,118,0
"Illinois","Clark",2024,272,245,27,0,0,0,0,90,50,38,0,0,272,0,0
"Illinois","Cook",2024,275,100,164,10,1,0,0,166,87,54,1,16,119,133,6
"Illinois","DuPage",2024,274,171,103,0,0,0,0,97,63,45,0,0,121,153,0
"Illinois","Effingham",2024,210,192,17,1,0,0,0,101,49,41,0,0,210,0,0
"Illinois","Hamilton",2024,274,170,103,1,0,0,0,112,61,46,0,0,101,173,0
"Illinois","Jersey",2024,241,172,68,1,0,0,0,112,61,44,0,0,143,98,0
"Illinois","Jo Daviess",2024,234,218,16,0,0,0,0,80,48,38,0,0,234,0,0
"Illinois","Kane",2024,236,178,57,1,0,0,0,105,64,42,0,0,189,47,0
"Illinois","Lake",2024,214,172,37,5,0,0,0,140,74,41,0,0,214,0,0
"Illinois","Macon",2024,274,185,88,1,0,0,0,101,60,43,0,0,122,152,0
"Illinois","Macoupin",2024,274,255,18,1,0,0,0,105,47,37,0,64,210,0,0
"Illinois","Madison",2024,274,140,128,4,2,0,0,165,74,50,0,0,127,147,0
"Illinois","McHenry",2024,274,187,86,1,0,0,0,108,61,43,0,0,133,141,0
"Illinois","McLean",2024,274,186,87,1,0,0,0,112,61,44,0,0,160,114,0
"Illinois","Peoria",2024,252,174,78,0,0,0,0,100,61,44,0,0,146,106,0
"Illinois","Randolph",2024,274,214,60,0,0,0,0,100,54,41,0,0,144,130,0
"Illinois","Rock Island",2024,274,211,63,0,0,0,0,84,55,44,0,0,159,115,0
"Illinois","Saint Clair",2024,274,158,113,3,0,0,0,112,65,47,0,2,94,178,0
"Illinois","Sangamon",2024,274,187,86,1,0,0,0,105,58,43,0,0,129,145,0
"Illinois","Will",2024,273,182,91,0,0,0,0,84,60,44,0,0,118,155,0
"Illinois","Winnebago",2024,274,190,81,3,0,0,0,119,61,44,0,0,146,128,0
"Indiana","Allen",2024,274,173,101,0,0,0,0,100,65,45,0,0,175,99,0
"Indiana","Bartholomew",2024,305,218,86,1,0,0,0,101,59,44,0,0,207,98,0
"Indiana","Boone",2024,270,229,41,0,0,0,0,93,61,40,0,0,270,0,0
"Indiana","Brown",2024,305,285,20,0,0,0,0,77,49,39,0,0,305,0,0
"Indiana","Carroll",2024,300,256,44,0,0,0,0,90,54,40,0,0,300,0,0
"Indiana","Clark",2024,295,175,116,4,0,0,0,150,64,48,0,0,145,150,0
"Indiana","Delaware",2024,305,205,100,0,0,0,0,97,62,44,0,0,187,118,0
"Indiana","Dubois",2024,274,186,88,0,0,0,0,70,59,41,0,0,0,273,1
"Indiana","Elkhart",2024,274,172,102,0,0,0,0,93,64,46,0,0,148,126,0
"Indiana","Floyd",2024,274,196,77,0,1,0,0,154,61,43,0,0,173,101,0
"Indiana","Greene",2024,270,193,77,0,0,0,0,97,57,43,0,0,153,117,0
"Indiana","Hamilton",2024,272,182,89,1,0,0,0,108,61,44,0,0,121,151,0
"Indiana","Hendricks",2024,263,245,18,0,0,0,0,80,49,37,0,0,263,0,0
"Indiana","Henry",2024,268,208,60,0,0,0,0,75,56,35,0,0,0,268,0
"Indiana","Howard",2024,274,168,106,0,0,0,0,93,64,46,0,0,164,110,0
"Indiana","Knox",2024,238,203,35,0,0,0,0,90,58,41,0,0,238,0,0
"Indiana","LaPorte",2024,274,190,82,2,0,0,0,115,67,43,0,0,218,56,0
"Indiana","Lake",2024,274,111,159,3,1,0,0,166,74,52,0,0,106,164,4
"Indiana","Madison",2024,305,218,87,0,0,0,0,97,61,44,0,0,204,101,0
"Indiana","Marion",2024,305,135,168,2,0,0,0,116,73,52,0,1,120,184,0
"Indiana","Monroe",2024,267,216,51,0,0,0,0,61,54,33,0,0,0,267,0
"Indiana","Perry",2024,240,202,38,0,0,0,0,90,54,42,0,0,240,0,0
"Indiana","Porter",2024,274,171,101,2,0,0,0,112,64,46,0,0,138,123,13
"Indiana","Posey",2024,273,253,19,1,0,0,0,122,49,39,0,0,273,0,0
"Indiana","Shelby",2024,304,270,34,0,0,0,0,87,51,39,0,0,304,0,0
"Indiana","Spencer",2024,75,53,22,0,0,0,0,68,55,38,0,0,0,75,0
"Indiana","St. Joseph",2024,274,169,104,1,0,0,0,115,66,47,0,0,167,107,0
"Indiana","Tippecanoe",2024,262,189,73,0,0,0,0,67,57,38,0,0,0,262,0
"Indiana","Vanderburgh",2024,305,190,113,2,0,0,0,119,63,46,0,0,162,143,0
"Indiana","Vigo",2024,274,149,124,1,0,0,0,112,64,48,0,0,116,158,0
"Indiana","Wabash",2024,244,217,27,0,0,0,0,84,51,39,0,0,244,0,0
"Indiana","Warrick",2024,305,265,39,1,0,0,0,101,51,41,0,0,305,0,0
"Indiana","Whitley",2024,274,207,67,0,0,0,0,70,56,34,0,0,0,274,0
"Iowa","Black Hawk",2024,304,190,114,0,0,0,0,87,59,44,0,0,0,304,0
"Iowa","Bremer",2024,235,208,27,0,0,0,0,74,54,40,0,0,235,0,0
"Iowa","Clinton",2024,304,192,112,0,0,0,0,90,60,46,0,0,141,163,0
"Iowa","Harrison",2024,244,208,36,0,0,0,0,90,54,42,0,0,244,0,0
"Iowa","Johnson",2024,305,217,88,0,0,0,0,83,57,38,0,0,0,305,0
"Iowa","Linn",2024,305,196,109,0,0,0,0,79,61,45,0,0,129,176,0
"Iowa","Montgomery",2024,294,222,72,0,0,0,0,80,56,43,0,0,144,150,0
"Iowa","Muscatine",2024,305,231,74,0,0,0,0,78,55,38,0,0,0,305,0
"Iowa","Palo Alto",2024,302,218,84,0,0,0,0,96,60,43,0,0,152,150,0
"Iowa","Polk",2024,305,193,112,0,0,0,0,93,59,46,0,2,143,158,2
"Iowa","Pottawattamie",2024,89,57,32,0,0,0,0,75,58,42,0,0,0,89,0
"Iowa","Scott",2024,306,182,124,0,0,0,0,90,61,47,1,0,141,114,50
"Iowa","Van Buren",2024,305,176,128,1,0,0,0,138,59,47,0,0,100,205,0
"Iowa","Woodbury",2024,264,215,49,0,0,0,0,84,57,43,0,0,219,45,0
"Kansas","Chase",2024,20,18,2,0,0,0,0,94,54,16,0,0,0,20,0
"Kansas","Ford",2024,182,174,8,0,0,0,0,80,40,20,0,0,0,61,121
"Kansas","Johnson",2024,182,136,46,0,0,0,0,80,58,44,0,0,104,75,3
"Kansas","Leavenworth",2024,165,161,4,0,0,0,0,67,48,37,0,0,165,0,0
"Kansas","Neosho",2024,182,129,50,2,1,0,0,168,59,44,0,0,96,84,2
"Kansas","Sedgwick",2024,182,150,31,0,1,0,0,180,58,40,0,4,162,15,1
"Kansas","Shawnee",2024,182,140,41,1,0,0,0,125,61,44,0,0,132,49,1
"Kansas","Sherman",2024,140,132,7,1,0,0,0,138,46,23,0,0,0,98,42
"Kansas","Sumner",2024,182,133,46,2,1,0,0,196,58,43,0,0,113,67,2
"Kansas","Trego",2024,182,139,41,2,0,0,0,127,61,44,0,0,134,44,4
"Kansas","Wyandotte",2024,182,95,85,2,0,0,0,126,71,49,0,2,73,96,11
"Kentucky","Bell",2024,182,120,62,0,0,0,0,88,63,45,0,0,75,107,0
"Kentucky","Boone",2024,122,105,17,0,0,0,0,77,58,41,0,0,122,0,0
"Kentucky","Boyd",2024,187,150,37,0,0,0,0,66,54,41,0,1,93,87,6
"Kentucky","Bullitt",2024,122,100,21,1,0,0,0,105,58,43,0,0,122,0,0
"Kentucky","Campbell",2024,191,152,37,2,0,0,0,105,54,40,0,1,82,108,0
