age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,housemaid,married,secondary,no,20597,yes,no,telephone,8,oct,189,8,70,5,unknown,no
61,student,married,primary,no,31428,yes,yes,cellular,3,may,519,8,159,0,unknown,yes
51,housemaid,married,secondary,no,48467,no,yes,cellular,29,jul,129,1,222,2,unknown,yes
79,blue-collar,married,primary,yes,38149,yes,no,cellular,21,jan,145,5,364,0,other,yes
31,blue-collar,divorced,secondary,no,33687,yes,no,cellular,10,jun,409,6,354,0,unknown,no
65,management,married,tertiary,no,27493,yes,yes,cellular,24,dec,624,9,313,0,other,no
32,housemaid,single,tertiary,no,49224,no,yes,unknown,7,aug,853,6,34,2,unknown,no
89,self-employed,married,tertiary,no,49171,no,no,cellular,30,jun,92,1,32,1,failure,yes
79,unemployed,single,primary,no,29852,no,no,cellular,25,apr,161,1,384,3,unknown,no
57,management,married,secondary,no,8932,yes,no,cellular,29,nov,277,7,11,6,failure,no
70,retired,divorced,secondary,no,21009,yes,no,cellular,10,aug,424,3,200,1,failure,yes
41,technician,married,primary,no,31583,no,no,cellular,7,aug,672,7,55,1,unknown,no
43,housemaid,married,primary,no,45278,no,no,cellular,18,jun,440,5,5,6,other,no
77,blue-collar,divorced,primary,no,25994,yes,no,telephone,20,aug,908,1,313,8,other,no
58,technician,married,primary,no,27865,yes,no,telephone,28,dec,457,8,109,2,other,no
46,student,single,primary,no,10289,yes,no,cellular,14,jun,943,9,114,9,unknown,no
32,technician,married,tertiary,no,26293,yes,no,cellular,12,apr,699,6,305,7,failure,no
62,self-employed,married,secondary,no,2734,no,no,cellular,8,nov,757,2,257,5,other,yes
82,housemaid,married,primary,no,18013,yes,no,telephone,25,dec,355,9,153,5,other,no
88,entrepreneur,divorced,tertiary,no,33521,yes,no,telephone,7,jun,972,2,204,2,success,yes
26,technician,married,primary,no,4505,yes,yes,telephone,5,sep,575,6,308,9,unknown,yes
18,entrepreneur,married,tertiary,yes,42327,no,no,cellular,1,aug,404,4,92,8,unknown,yes
25,student,single,primary,no,45673,no,no,cellular,15,jul,873,6,190,8,unknown,yes
80,management,married,secondary,no,2685,no,no,cellular,9,may,327,4,288,3,success,no
28,entrepreneur,married,primary,no,47353,yes,no,unknown,12,jul,308,3,277,9,failure,yes
25,management,married,primary,no,48156,no,no,unknown,22,jan,325,8,46,5,failure,yes
52,blue-collar,married,secondary,no,48464,yes,yes,cellular,18,aug,556,5,53,4,other,yes
52,unemployed,single,secondary,no,16409,yes,no,telephone,11,may,144,1,15,3,success,yes
50,housemaid,single,primary,no,17517,yes,no,unknown,10,jul,522,8,333,1,success,yes
22,technician,divorced,secondary,no,42533,yes,yes,cellular,10,jul,86,3,60,3,failure,no
58,blue-collar,married,secondary,yes,28475,yes,no,telephone,18,aug,908,4,123,6,other,yes
45,blue-collar,divorced,tertiary,no,34989,no,no,cellular,26,jul,171,9,235,2,unknown,no
24,services,divorced,secondary,no,13327,yes,no,cellular,1,jun,748,3,59,2,unknown,yes
89,admin.,married,secondary,no,1671,yes,no,cellular,28,dec,681,5,42,2,unknown,yes
29,self-employed,single,primary,no,2941,yes,no,cellular,20,jun,648,8,325,8,failure,no
51,management,single,primary,no,24372,yes,no,telephone,26,may,914,6,379,0,unknown,yes
50,unemployed,married,tertiary,no,10466,yes,no,cellular,11,may,832,3,126,4,other,no
65,services,married,primary,no,48756,yes,no,cellular,29,apr,438,8,257,8,success,yes
40,admin.,single,secondary,no,16286,yes,no,cellular,2,jul,107,5,199,6,other,no
79,unemployed,married,secondary,no,42959,yes,no,cellular,26,dec,31,6,321,0,success,no
54,self-employed,married,secondary,no,2588,yes,no,cellular,11,nov,815,3,110,3,unknown,no
61,management,married,primary,no,26080,yes,no,cellular,25,mar,64,8,353,5,success,no
52,housemaid,single,secondary,no,22544,yes,no,cellular,2,may,806,4,390,4,unknown,yes
82,self-employed,divorced,secondary,no,8811,yes,no,telephone,27,mar,424,9,374,1,success,yes
64,technician,divorced,tertiary,no,16733,yes,no,unknown,9,aug,247,5,141,0,failure,no
20,blue-collar,married,tertiary,no,38696,no,no,cellular,1,may,96,1,387,3,failure,no
18,admin.,single,tertiary,no,46093,yes,no,telephone,30,nov,98,9,395,9,failure,no
22,admin.,married,primary,no,37888,yes,no,unknown,23,oct,253,8,205,4,other,no
31,unemployed,single,secondary,no,45042,no,no,cellular,6,jun,390,5,357,3,failure,no
44,admin.,married,secondary,no,28059,no,no,cellular,22,jan,487,3,138,2,success,no
26,management,single,secondary,no,35487,no,yes,telephone,2,nov,323,9,225,9,unknown,no
32,technician,single,tertiary,no,38849,no,no,cellular,15,apr,355,7,317,7,failure,no
59,self-employed,divorced,secondary,yes,12550,yes,no,cellular,1,sep,232,8,134,5,unknown,no
68,blue-collar,married,secondary,no,47122,yes,yes,telephone,26,may,622,3,288,2,success,yes
80,technician,divorced,secondary,no,8864,no,no,cellular,24,jan,984,6,198,5,failure,yes
69,services,divorced,secondary,no,23394,no,no,telephone,24,apr,607,4,276,9,other,no
21,housemaid,single,secondary,yes,17061,no,no,cellular,18,dec,326,3,304,7,other,no
40,entrepreneur,married,primary,no,47699,no,no,cellular,4,jun,821,4,138,6,success,yes
32,technician,single,secondary,no,10624,yes,no,cellular,29,jul,975,2,148,0,failure,yes
60,unemployed,single,primary,no,22934,yes,no,cellular,13,jul,290,5,89,5,failure,no
46,services,single,secondary,no,1361,no,no,telephone,4,aug,818,8,184,0,success,no
53,blue-collar,married,primary,no,11707,no,no,cellular,15,may,547,5,80,3,other,no
30,unemployed,married,secondary,no,-76,no,yes,unknown,2,jun,161,2,17,9,failure,no
49,unemployed,single,secondary,no,27487,no,no,cellular,27,nov,806,7,377,2,failure,no
88,entrepreneur,married,secondary,no,10647,yes,no,cellular,9,nov,354,8,131,6,failure,yes
76,entrepreneur,single,secondary,no,29734,yes,no,unknown,12,feb,97,4,270,1,unknown,yes
45,technician,married,tertiary,no,27018,no,no,cellular,14,dec,155,3,367,3,unknown,no
83,unemployed,married,secondary,no,19627,yes,no,telephone,20,oct,422,8,167,4,other,yes
59,admin.,divorced,primary,no,19031,yes,yes,cellular,4,dec,431,2,17,1,failure,yes
62,retired,single,tertiary,no,37449,yes,no,telephone,15,feb,856,7,251,8,other,yes
79,blue-collar,divorced,tertiary,no,701,yes,no,cellular,4,mar,712,8,362,1,unknown,yes
74,admin.,divorced,secondary,yes,44943,yes,yes,unknown,5,apr,365,5,191,5,unknown,no
23,blue-collar,single,primary,no,40890,no,yes,telephone,10,jun,991,7,276,7,failure,yes
45,retired,single,primary,no,47573,yes,no,cellular,12,jun,58,9,143,6,other,no
45,housemaid,married,tertiary,no,14719,yes,no,cellular,12,mar,717,8,33,5,success,no
61,retired,single,primary,no,7718,no,no,cellular,8,jan,848,5,165,7,other,yes
47,student,divorced,secondary,no,-1944,yes,no,cellular,4,mar,967,4,242,4,success,no
79,technician,divorced,secondary,no,44741,no,no,cellular,3,apr,833,3,71,9,failure,yes
79,technician,single,secondary,no,13352,yes,no,cellular,27,sep,873,6,309,8,unknown,no
18,services,divorced,secondary,no,45820,no,no,cellular,1,oct,646,4,131,1,failure,no
44,admin.,married,secondary,no,1147,yes,no,cellular,18,aug,74,4,71,5,unknown,yes
79,services,divorced,tertiary,no,1537,yes,no,telephone,20,apr,130,7,113,9,failure,no
20,student,married,secondary,no,20812,no,no,telephone,25,jul,255,5,265,6,success,no
87,retired,divorced,secondary,no,-1279,no,no,telephone,14,sep,448,1,332,8,failure,no
89,technician,married,tertiary,no,43037,yes,no,cellular,17,feb,645,5,108,4,other,no
44,management,married,tertiary,no,14769,no,no,cellular,6,mar,291,6,166,5,other,yes
26,retired,single,tertiary,no,49969,yes,no,cellular,6,jan,794,1,214,8,success,yes
79,retired,married,primary,no,38194,no,no,unknown,10,aug,706,3,338,9,other,yes
54,student,single,primary,no,44556,yes,no,cellular,19,feb,321,6,95,5,success,no
68,housemaid,divorced,secondary,no,44775,yes,yes,cellular,10,jul,241,7,386,0,success,yes
61,blue-collar,divorced,secondary,no,41847,yes,no,cellular,25,jul,685,7,381,3,unknown,no
41,unemployed,divorced,secondary,no,12346,yes,no,cellular,30,nov,485,7,78,3,unknown,yes
76,unemployed,married,primary,no,37883,yes,no,cellular,26,mar,265,9,215,2,failure,no
49,student,divorced,secondary,no,8911,yes,no,cellular,3,feb,563,2,184,7,unknown,yes
69,blue-collar,divorced,secondary,no,-1741,yes,no,cellular,1,mar,98,3,369,5,success,no
79,technician,single,primary,no,18872,yes,yes,cellular,18,dec,610,7,62,6,unknown,yes
75,student,single,tertiary,no,6791,yes,no,cellular,15,aug,275,6,65,8,other,yes
69,blue-collar,divorced,primary,no,5536,no,no,cellular,20,dec,604,1,94,7,other,yes
29,services,divorced,secondary,no,18432,yes,no,telephone,4,sep,266,7,32,2,failure,no
56,student,married,primary,no,30750,no,yes,cellular,18,nov,360,2,367,3,success,yes
19,technician,married,tertiary,no,39715,no,no,cellular,10,aug,392,4,343,0,failure,no
20,student,divorced,tertiary,no,42537,no,yes,telephone,22,nov,560,7,389,3,failure,yes
73,technician,single,tertiary,no,17541,no,no,unknown,22,feb,772,4,232,8,unknown,yes
76,student,divorced,tertiary,yes,41718,yes,no,cellular,19,dec,494,6,161,4,failure,no
19,blue-collar,married,tertiary,no,14860,yes,no,cellular,17,sep,258,9,155,2,unknown,yes
19,housemaid,single,tertiary,no,3283,yes,no,telephone,10,jun,899,5,279,1,unknown,no
71,self-employed,single,secondary,no,28743,yes,no,cellular,25,dec,538,3,26,5,failure,yes
18,blue-collar,married,secondary,no,40559,no,no,unknown,4,feb,411,6,67,3,failure,no
36,admin.,divorced,primary,no,33127,yes,no,cellular,25,sep,156,4,330,5,success,yes
19,entrepreneur,divorced,secondary,no,5405,yes,no,unknown,5,may,687,9,336,2,unknown,no
70,housemaid,divorced,tertiary,no,29181,no,no,cellular,7,jun,911,2,228,2,other,no
61,services,married,secondary,no,30205,yes,no,telephone,19,jan,870,5,390,0,success,yes
49,retired,single,primary,no,22408,yes,no,cellular,19,dec,143,9,373,8,unknown,no
87,unemployed,married,tertiary,no,15645,yes,no,unknown,8,feb,272,7,348,6,unknown,yes
49,blue-collar,divorced,secondary,no,45125,no,no,cellular,1,jan,174,5,135,8,unknown,no
85,student,married,secondary,no,4323,no,yes,cellular,24,apr,582,8,110,0,unknown,no
72,blue-collar,single,primary,no,3937,yes,no,cellular,8,feb,702,2,297,7,unknown,no
73,management,married,tertiary,no,48734,yes,no,unknown,19,jan,468,4,23,1,success,no
34,housemaid,divorced,primary,no,41798,yes,no,cellular,17,mar,367,6,92,2,unknown,no
55,self-employed,single,tertiary,no,28431,yes,no,cellular,9,apr,437,7,64,0,failure,no
41,services,married,tertiary,no,15882,no,no,cellular,20,apr,618,8,15,6,other,yes
86,management,married,secondary,no,23324,yes,no,telephone,23,mar,197,4,107,4,success,no
87,technician,single,primary,no,11003,yes,yes,cellular,16,feb,825,9,389,2,success,yes
28,management,single,primary,no,41346,no,no,cellular,9,dec,651,7,276,3,other,no
33,blue-collar,divorced,primary,no,23106,no,yes,telephone,19,aug,736,2,8,9,success,yes
76,services,single,tertiary,no,10979,no,yes,telephone,16,oct,769,9,344,5,unknown,yes
87,blue-collar,divorced,primary,no,32977,yes,no,cellular,21,nov,196,7,139,5,unknown,no
20,technician,married,tertiary,no,42828,yes,no,cellular,26,feb,562,5,296,1,other,no
37,retired,divorced,primary,no,5228,yes,no,cellular,27,may,194,3,26,6,success,yes
76,services,married,primary,no,7300,no,no,cellular,13,jul,671,9,98,1,failure,yes
53,retired,single,secondary,no,6681,yes,no,cellular,19,sep,291,7,185,8,other,no
36,housemaid,married,primary,no,38964,no,no,cellular,5,dec,593,3,265,1,success,no
84,housemaid,single,secondary,yes,6267,no,no,unknown,27,mar,290,5,391,4,success,no
36,retired,married,secondary,no,3372,yes,no,cellular,2,jan,204,3,206,7,other,yes
37,housemaid,married,tertiary,no,36918,yes,no,telephone,4,sep,840,3,335,7,unknown,no
88,services,married,primary,no,8920,no,no,cellular,12,jan,125,7,309,3,other,yes
69,student,married,primary,no,46769,no,no,cellular,18,aug,386,9,259,6,other,yes
50,admin.,divorced,primary,no,14856,no,no,cellular,3,feb,399,5,67,7,other,yes
57,housemaid,married,secondary,no,25785,yes,no,unknown,21,jul,581,4,36,7,other,yes
56,housemaid,divorced,primary,yes,45915,yes,no,cellular,25,dec,936,4,64,4,other,no
18,blue-collar,single,tertiary,no,15221,no,no,cellular,19,mar,750,3,233,9,unknown,yes
28,retired,single,tertiary,no,23178,no,yes,cellular,26,jun,171,8,62,1,failure,no
74,entrepreneur,divorced,primary,no,31954,yes,no,cellular,22,jun,799,1,233,1,unknown,no
67,self-employed,single,secondary,yes,4461,yes,no,cellular,4,apr,196,3,151,4,failure,yes
40,unemployed,single,tertiary,no,15865,no,no,telephone,4,aug,732,2,178,3,unknown,yes
48,unemployed,married,tertiary,no,42232,yes,no,telephone,16,dec,348,7,164,3,other,no
59,management,married,secondary,no,12052,no,no,cellular,11,dec,660,6,331,2,success,no
24,housemaid,married,tertiary,no,28370,yes,yes,unknown,29,may,687,1,273,8,failure,yes
33,management,divorced,secondary,no,5332,no,no,cellular,26,jul,891,3,97,7,failure,yes
77,services,divorced,tertiary,yes,47383,no,no,telephone,26,may,364,4,23,3,success,no
19,entrepreneur,single,secondary,yes,-1673,yes,no,cellular,13,dec,503,7,302,6,failure,no
18,self-employed,married,tertiary,no,20765,no,no,telephone,21,apr,670,3,71,7,unknown,yes
65,retired,divorced,primary,no,3239,no,no,telephone,11,jun,174,4,33,5,failure,yes
29,admin.,divorced,tertiary,no,48101,no,no,unknown,7,mar,83,7,141,1,unknown,yes
86,self-employed,married,tertiary,no,8078,yes,no,cellular,27,jun,151,4,212,7,other,yes
54,self-employed,divorced,primary,no,5038,no,no,cellular,14,jun,153,9,203,2,failure,no
49,admin.,married,primary,yes,6048,no,no,telephone,4,nov,196,6,303,3,failure,no
26,student,single,primary,no,26671,yes,no,telephone,8,nov,973,2,215,3,failure,yes
36,retired,single,primary,no,12954,no,no,cellular,12,jun,863,1,343,6,unknown,yes
65,blue-collar,single,secondary,no,33065,yes,no,cellular,13,nov,684,8,230,7,other,no
20,management,married,secondary,no,48459,yes,no,cellular,25,mar,51,3,84,8,success,no
37,unemployed,divorced,tertiary,no,43471,yes,no,cellular,9,aug,305,7,167,0,success,yes
41,housemaid,single,tertiary,no,779,yes,yes,telephone,9,apr,890,4,385,0,success,no
71,self-employed,single,tertiary,no,44474,no,no,telephone,2,nov,968,3,123,6,unknown,yes
50,services,single,secondary,no,11225,no,no,cellular,3,feb,981,9,327,3,success,yes
41,unemployed,divorced,tertiary,no,38086,yes,no,unknown,21,jul,437,6,234,9,failure,yes
89,unemployed,divorced,tertiary,no,30541,no,no,cellular,12,nov,511,6,365,7,other,yes
53,admin.,married,secondary,no,17720,yes,no,cellular,17,aug,328,6,143,4,other,no
55,management,single,tertiary,no,11531,yes,yes,cellular,4,nov,306,3,103,0,unknown,yes
42,entrepreneur,divorced,secondary,yes,3335,yes,no,telephone,27,apr,845,6,342,1,failure,no
35,admin.,married,secondary,no,7530,yes,no,telephone,30,jun,351,4,262,9,success,no
83,entrepreneur,single,primary,no,22791,yes,no,cellular,14,aug,144,2,132,2,other,yes
71,retired,divorced,primary,no,38270,no,yes,cellular,21,may,301,3,7,1,failure,no
52,self-employed,divorced,secondary,no,-351,yes,yes,cellular,9,sep,197,4,13,8,failure,no
78,services,married,secondary,no,11472,yes,no,cellular,8,jun,818,1,62,6,unknown,yes
58,unemployed,single,primary,no,862,yes,yes,cellular,1,jun,465,7,176,1,unknown,no
50,housemaid,single,tertiary,no,23185,yes,no,cellular,30,dec,898,5,122,6,failure,no
85,entrepreneur,divorced,tertiary,no,25134,no,yes,telephone,13,feb,293,9,9,9,unknown,no
50,management,single,tertiary,no,-1083,yes,no,cellular,28,jul,279,6,93,0,failure,yes
31,student,married,secondary,no,10444,no,no,cellular,3,sep,491,8,118,4,unknown,no
38,retired,divorced,primary,no,39121,yes,no,cellular,30,may,907,9,299,4,other,no
65,student,divorced,tertiary,no,18521,no,no,cellular,14,may,468,6,244,8,unknown,yes
37,retired,married,primary,no,36217,yes,no,cellular,19,dec,796,7,75,3,failure,no
25,blue-collar,divorced,primary,yes,20066,no,yes,cellular,27,nov,371,6,92,3,other,no
24,management,single,secondary,no,811,yes,yes,cellular,6,may,495,6,313,5,failure,no
84,unemployed,single,tertiary,no,34189,yes,yes,telephone,4,jan,87,2,151,1,failure,yes
34,student,divorced,primary,no,7290,no,no,cellular,20,may,34,5,238,9,unknown,no
50,services,married,secondary,no,33489,no,yes,cellular,1,oct,967,6,138,5,other,yes
65,self-employed,married,secondary,no,25284,yes,no,unknown,28,aug,652,5,83,6,failure,yes
76,admin.,single,secondary,no,22698,no,no,cellular,10,mar,906,4,214,3,success,no
39,housemaid,married,tertiary,no,41660,no,no,cellular,13,sep,827,6,280,9,unknown,no
47,self-employed,divorced,tertiary,yes,17637,yes,no,cellular,12,sep,892,6,368,8,other,no
55,unemployed,divorced,secondary,no,46024,yes,no,cellular,11,jun,294,8,291,4,other,yes
68,self-employed,single,tertiary,no,31556,yes,no,cellular,4,apr,278,8,239,2,failure,yes
71,retired,single,tertiary,no,14640,yes,no,cellular,17,apr,124,1,21,8,other,yes
25,services,single,primary,no,2025,no,no,telephone,15,nov,892,2,319,0,other,no
44,unemployed,married,secondary,no,29476,yes,no,telephone,21,jan,838,1,43,7,success,yes
44,retired,divorced,secondary,no,4741,yes,no,cellular,29,oct,848,7,72,0,other,no
38,technician,divorced,tertiary,no,1654,no,no,cellular,3,may,726,8,100,9,success,yes
47,entrepreneur,divorced,secondary,no,44348,yes,no,cellular,29,may,486,3,282,7,unknown,no
45,housemaid,single,secondary,no,38428,no,no,cellular,10,may,770,3,383,4,unknown,no
81,entrepreneur,divorced,secondary,no,34019,no,no,cellular,21,dec,346,7,70,6,unknown,no
86,admin.,married,tertiary,no,36036,no,no,cellular,14,jan,803,8,39,7,other,no
78,technician,married,tertiary,no,42549,no,no,cellular,19,jan,148,6,277,0,unknown,no
65,management,divorced,tertiary,no,27843,yes,no,cellular,21,oct,775,8,210,0,success,yes
36,admin.,single,primary,no,21560,yes,no,cellular,4,dec,823,2,158,6,other,no
21,admin.,divorced,secondary,no,44257,yes,no,cellular,25,feb,231,7,85,0,other,no
52,blue-collar,married,primary,no,45899,yes,no,cellular,14,jan,803,5,5,3,success,no
81,housemaid,married,tertiary,yes,38330,no,no,cellular,6,aug,82,6,181,5,success,yes
66,retired,married,primary,no,13987,yes,no,cellular,12,dec,346,7,326,1,success,yes
34,services,divorced,secondary,no,18810,no,no,cellular,30,dec,702,9,297,9,unknown,yes
61,entrepreneur,married,secondary,no,18311,no,no,cellular,26,apr,273,7,396,4,other,no
47,admin.,single,tertiary,no,45159,yes,yes,cellular,2,jun,970,1,12,9,failure,yes
63,entrepreneur,divorced,tertiary,no,32920,yes,yes,cellular,17,aug,123,5,98,9,failure,yes
23,entrepreneur,divorced,primary,no,6738,yes,no,cellular,1,may,581,4,242,9,other,yes
54,management,married,tertiary,no,5888,no,no,telephone,17,jun,309,8,167,5,other,yes
41,unemployed,married,primary,yes,40864,no,no,cellular,25,apr,121,7,230,4,success,no
63,housemaid,single,secondary,no,3474,yes,no,cellular,5,jun,842,4,109,9,unknown,yes
70,housemaid,divorced,secondary,no,-1512,yes,no,cellular,16,jun,67,3,345,7,success,no
77,student,married,secondary,no,48974,yes,no,cellular,14,mar,442,6,338,3,success,yes
80,self-employed,single,secondary,no,22144,no,no,cellular,20,apr,272,8,100,7,failure,no
49,housemaid,married,secondary,no,3622,yes,no,unknown,10,jun,393,3,215,2,unknown,no
50,entrepreneur,divorced,primary,no,29830,yes,no,telephone,21,aug,677,5,238,6,other,no
84,retired,married,secondary,no,34542,no,no,cellular,25,jul,93,1,238,4,other,no
35,entrepreneur,divorced,primary,no,37214,no,no,cellular,3,apr,884,8,219,4,failure,no
42,retired,married,secondary,no,25648,no,no,cellular,3,mar,904,7,268,5,success,no
71,unemployed,divorced,primary,no,30697,yes,no,cellular,28,nov,230,8,26,4,unknown,yes
75,unemployed,single,primary,no,23223,no,no,telephone,18,aug,336,2,284,0,success,no
84,student,divorced,primary,yes,19865,yes,no,cellular,24,jun,803,7,333,8,unknown,no
63,retired,single,tertiary,no,6572,yes,no,cellular,23,dec,204,4,52,3,success,no
41,housemaid,divorced,primary,yes,38601,yes,no,cellular,18,aug,718,2,211,4,unknown,yes
49,management,single,primary,no,41026,yes,yes,cellular,4,sep,626,9,394,0,success,no
64,retired,married,secondary,no,21501,yes,no,unknown,7,sep,701,5,368,2,failure,yes
40,unemployed,divorced,primary,no,24866,no,no,telephone,1,oct,723,7,118,2,unknown,yes
83,entrepreneur,married,primary,no,10416,yes,no,telephone,16,nov,577,4,73,7,success,yes
44,services,single,tertiary,no,23775,no,no,cellular,17,sep,886,4,68,7,unknown,yes
19,housemaid,divorced,secondary,no,27080,yes,yes,cellular,8,oct,128,3,321,8,success,no
34,services,divorced,tertiary,no,2887,yes,yes,telephone,6,jan,255,1,231,9,failure,no
50,technician,married,tertiary,no,17374,no,no,unknown,2,dec,944,2,269,6,unknown,yes
26,technician,divorced,tertiary,no,14605,no,no,cellular,26,mar,578,9,130,5,success,no
60,entrepreneur,divorced,primary,no,13684,yes,no,unknown,10,sep,302,1,96,7,failure,yes
65,technician,married,tertiary,no,22002,no,no,cellular,17,apr,813,5,100,2,success,yes
56,self-employed,divorced,tertiary,no,24015,yes,no,cellular,19,oct,215,2,165,9,other,yes
59,unemployed,married,secondary,yes,20972,no,no,cellular,28,dec,969,4,103,9,success,no
43,student,married,secondary,no,-1383,yes,no,cellular,4,feb,481,7,84,9,other,no
67,housemaid,married,secondary,no,44404,no,no,telephone,13,jan,590,5,35,7,failure,yes
42,services,married,secondary,no,33338,yes,no,cellular,21,may,534,1,158,2,success,yes
41,entrepreneur,married,tertiary,yes,4309,no,yes,unknown,27,apr,123,3,121,1,unknown,yes
30,self-employed,single,secondary,no,17139,no,no,cellular,26,may,336,9,130,8,unknown,yes
77,entrepreneur,single,primary,no,790,yes,no,cellular,19,nov,767,1,264,0,unknown,yes
24,self-employed,married,tertiary,no,5826,no,no,telephone,16,may,546,4,281,9,unknown,no
74,unemployed,single,secondary,no,10134,yes,no,cellular,13,aug,894,5,338,9,success,no
